Cell ID,Entity,Dimension Code,Policy Dimension,Figure 2 System Score,Figure 2 System Class,Source / Note,Reporting Score,Reporting Class,Reporting Provenance,Formal Metric Treatment
GC-026,Canada,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-027,Canada,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-028,Canada,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-029,China,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-030,China,D2,Net Zero Pathway,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-031,China,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-032,China,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-033,China,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-034,China,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-035,China,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-036,EU,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-037,EU,D2,Net Zero Pathway,0.75,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.75,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-038,EU,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-039,EU,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-040,EU,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-041,EU,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-042,EU,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-043,India,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-044,India,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-045,India,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-046,India,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-047,India,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-048,India,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-049,India,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-050,Indonesia,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-051,Indonesia,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-052,Indonesia,D3,Methane Reduction,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-053,Indonesia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-054,Indonesia,D5,Loss and Damage,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.0,Aligned,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-055,Indonesia,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-056,Indonesia,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-057,Japan,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-058,Japan,D2,Net Zero Pathway,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-059,Japan,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-060,Japan,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-061,Japan,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-062,Japan,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-063,Japan,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-064,Mexico,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-065,Mexico,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-066,Mexico,D3,Methane Reduction,0.8,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.8,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-067,Mexico,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-068,Mexico,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-069,Mexico,D6,Transport Sector Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-070,Mexico,D7,LULUCF and Carbon Sinks,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-071,Russia,D1,Renewable Energy Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-072,Russia,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-073,Russia,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-074,Russia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-075,Russia,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-076,Russia,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-077,Russia,D7,LULUCF and Carbon Sinks,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-078,Saudi Arabia,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-079,Saudi Arabia,D2,Net Zero Pathway,0.8,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.8,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-080,Saudi Arabia,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-081,Saudi Arabia,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-082,Saudi Arabia,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-083,Saudi Arabia,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-084,Saudi Arabia,D7,LULUCF and Carbon Sinks,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-085,South Africa,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-086,South Africa,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-087,South Africa,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-088,South Africa,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-089,South Africa,D5,Loss and Damage,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.0,Aligned,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-090,South Africa,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-091,South Africa,D7,LULUCF and Carbon Sinks,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-092,South Korea,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-093,South Korea,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-094,South Korea,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-095,South Korea,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-096,South Korea,D5,Loss and Damage,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-097,South Korea,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-098,South Korea,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-099,Türkiye,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-100,Türkiye,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-101,Türkiye,D3,Methane Reduction,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-102,Türkiye,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-103,Türkiye,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-104,Türkiye,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-105,Türkiye,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-106,United Kingdom,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-107,United Kingdom,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-108,United Kingdom,D3,Methane Reduction,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-109,United Kingdom,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-110,United Kingdom,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-111,United Kingdom,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-112,United Kingdom,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-113,United States,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-114,United States,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-115,United States,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-116,United States,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-117,United States,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-118,United States,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-119,United States,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
