Cell ID,Entity,Dimension Code,Policy Dimension,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Cut-off Flag,Review Scope
GC-011,Australia,D4,Adaptation Finance,"National Adaptation Plan (NAP, DCCEEW, released Sept 2025), Introduction; 2025–26 Budget","NAP: 'There is already extensive action... with $3.6 billion committed to adaptation and resilience measures since 2022 and around $9 billion out to 2030.' The 2025–26 Budget adds $354 million in new adaptation funding plus $632.5 million over the medium term. Funding is domestic and largely unconditional (government-committed), though the NAP itself states 'there is an adaptation action shortfall across all systems, risks, jurisdictions, and geographies.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-012,Australia,D5,Loss and Damage,"DFAT Pacific regional climate finance page; Pacific Resilience Facility (Australian Government commitment, referenced alongside the 2035 target)","No domestic loss-and-damage finance need or liability/compensation claim is made for Australia itself (as a developed country, its L&D exposure is treated as an international-support question, not a domestic one). Internationally, Australia funds the Pacific Resilience Facility, which 'will provide grants for climate adaptation, disaster preparedness, nature-based solutions and projects which respond to loss and damage,' as part of AUD3.9 billion in climate finance delivered 2020–25 (AUD1.3 billion to the Pacific).",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",,Exploratory 119-cell review
GC-013,Australia,D6,Transport Sector Targets,Transport Sector Plan 2025 (Dept. of Infrastructure); Net Zero Plan; National Electric Vehicle Strategy / New Vehicle Efficiency Standard,Sets 5 qualitative 'priority actions' (electrify and increase transport energy performance; switch to low-carbon liquid fuels where electrification isn't feasible; invest in enabling infrastructure; innovate; reduce embodied emissions) aiming to 'prevent transport from becoming the top emissions source by 2030' — no quantified transport-sector emissions-reduction percentage or electrification-share target found in the primary plan text.,IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-014,Australia,D7,LULUCF and Carbon Sinks,"2035 NDC / Net Zero Plan (DCCEEW, Sept 2025), p.44 vicinity; Climate Change Authority 2035 Targets Advice; ACCU Scheme (Clean Energy Regulator)","LULUCF is embedded in the headline target: the 43%-by-2030 figure includes LULUCF, but is only ~23% excluding it (Climate Action Tracker, secondary, citing DCCEEW projections). The Net Zero Plan explicitly relies on 'an increasingly large amount of carbon removals to 2050 through reforestation and other land sector activities' — IGCC (secondary) cites land sequestration growing from ~74 MtCO2e/yr (2025) to ~167 MtCO2e/yr (2050), with ACCUs (Australian Carbon Credit Units) and Article 6 international units both permitted as offsets under the Safeguard Mechanism.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-015,Brazil,D1,Renewable Energy Targets,"Brazil's Second/2035 NDC (submitted UNFCCC Nov 2024, COP29); Ten-Year Energy Expansion Plan (EPE); Novo PAC infrastructure programme","NDC states renewables (hydro, wind, solar) already comprise '89.1% of the country's electricity mix' and commits only qualitatively to 'seek to expand electricity generation with an increased share of technology and clean sources' — no fixed numeric 2035 renewable-share target. The Ten-Year Energy Expansion Plan projects renewables at ~86% of the electricity mix by 2034, 'indicating little change from current levels'; Novo PAC targets 80% of *added* capacity from renewables but allocates only ~12% of total plan investment to renewable energy.",IPCC AR6 WGIII Ch.6; SPM.3,"1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050. Climate Analytics' Brazil-specific 1.5°C-compatible benchmark (secondary, derived from AR6 methodology) is 97–98% renewables share in electricity generation.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-016,Brazil,D2,Net Zero Pathway,"2035 NDC (Nov 2024); National Mitigation Strategy (ENM, 2025); revised National Climate Change Policy (PNMC)","NDC includes a goal to reach 'climate neutrality by 2050 (for all GHGs)' covering all sectors, with an interim 2035 emissions ceiling of 0.85–1.05 GtCO2e (59–67% below 2005). The National Mitigation Strategy separately sets a more ambitious 2040 carbon-neutrality goal, but for CO2 only. Brazil has not yet submitted a Long-Term Strategy to the UNFCCC.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-017,Brazil,D3,Methane Reduction,"Global Methane Pledge signatory (COP26, 2021); NDC 'national mitigation objectives' text (Nov 2024); Plano Clima agriculture & livestock sector plan (2025)","Brazil signed the Global Methane Pledge, committing to 'reducing 30% of its methane emissions by 2030' (collective, non-binding, 2020 baseline). The NDC references reducing non-CO2 GHGs including methane as a mitigation objective, but per investigative reporting (SUMAÚMA, secondary) the agriculture sector plan under Plano Clima 'does not call for a reduction in emissions from agriculture by 2035' — agriculture/livestock is ~half of Brazil's emissions excl. LULUCF, with ~75% of that as methane and N2O from livestock (SEEG data via CAT).",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Formal cut-off-compliant 8-cell subset
GC-018,Brazil,D4,Adaptation Finance,"2035 NDC (Nov 2024) — sustainable sovereign bonds; National Adaptation Strategy (ENA, public consultation late 2024); National Adaptation Plan (submitted UNFCCC Feb 2026)","NDC notes Brazil issued '$2bn in sustainable sovereign bonds' (Nov 2023 and June 2024) whose proceeds fund deforestation control, biodiversity conservation, replenishing the Climate Fund, renewable energy/clean transport, and anti-poverty programs — a real but not adaptation-exclusive figure. Brazil has since completed and submitted a full National Adaptation Plan to the UNFCCC (Feb 2026), following 16 sectoral/thematic adaptation plans developed under Plano Clima.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-019,Brazil,D5,Loss and Damage,"2035 NDC (Nov 2024) — no dedicated loss-and-damage section found; COP30 Belem outcomes (Nov 2025, hosted by Brazil) — Loss and Damage Fund operationalisation, Fund for Responding to Loss and Damage (FRLD)","No specific loss-and-damage finance need, liability/compensation reference, or standalone L&D commitment was found in Brazil's own NDC text. As COP30 host, Brazil convened and helped finalize L&D architecture at the multilateral level (WIM, Santiago Network, FRLD operationalisation), but this is a convening/presidency role in the UNFCCC process rather than a national commitment within Brazil's own NDC.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-020,Brazil,D6,Transport Sector Targets,"2035 NDC (Nov 2024), transport sectoral mitigation plan text; RenovaBio (National Biofuels Policy, Law 13,576/2017); Future Fuel Law (Law 14,993/2024)","NDC transport plan commits to 'replacing fossil fuels with electricity and biofuels,' with hydrogen anticipated by 2035 and sub-sector-specific instruments for aviation, rail, road, and maritime transport. RenovaBio does carry a quantified target — reducing the carbon intensity of transport fuels by approximately 12% by 2035 (via ~600 million CBIO credits) — but this is a fuel carbon-intensity metric, not an absolute transport-emissions target, and Climate Action Tracker (secondary) notes the NDC 'fails to include a fixed timeline for phasing out fossil fuels' in transport.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-021,Brazil,D7,LULUCF and Carbon Sinks,"2035 NDC / National Mitigation Strategy sectoral contributions (2025); Tropical Forests Forever Fund (TFFF, launched COP30 Nov 2025)","Following the 2035 NDC, Brazil's National Mitigation Strategy and Plano Clima sectoral contributions reveal the target relies on 'large reductions in the land use, land use change and forestry (LULUCF) sector, while projected emissions in other key sectors such as industry, agriculture, energy and transport remain stable or even increase' (Climate Action Tracker, secondary, characterizing the published sectoral plan data). Brazil launched the Tropical Forests Forever Fund at COP30 (raised $5.5–6.7bn of a $25bn goal), a performance-based payment mechanism rewarding standing forest, and the NDC signals intent to use Article 6 to sell part of its emission reductions internationally.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-022,Canada,D1,Renewable Energy Targets,"Clean Electricity Regulations (finalized Dec 2024, CEPA 1999); Powering Canada's Future / National Electricity Strategy (NRCan)","Federal regulation mandates a net-zero-emitting electricity grid starting in 2035 (limited, capped exceptions for CCS-equipped or short-life gas units). Primary source (Zero Emission Transit Fund page, NRCan) states 'Canada generates approximately 82% of its electricity from zero emission power sources' already, with six provinces above 90%. The National Electricity Strategy also targets doubling electricity supply by 2050 to support economy-wide electrification.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-023,Canada,D2,Net Zero Pathway,"2035 NDC (submitted UNFCCC Feb 11, 2025); Canadian Net-Zero Emissions Accountability Act (2021)","NDC commits to 45–50% below 2005 levels by 2035, building on the existing 40–45%-by-2030 target, all sectors/gases, with net-zero by 2050 legislated under the CNZEAA. Notably, 'the submission did not increase ambition for 2030' (Climate Action Tracker, secondary).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-024,Canada,D3,Methane Reduction,Canada's Methane Strategy (2022); 2030 Emissions Reduction Plan,"Canada's Methane Strategy 'outlines measures to further reduce domestic methane emissions by more than 35% by 2030, compared with 2020 levels' — a specific, quantified national target (not just a pledge), covering the oil & gas sector primarily. CAT (secondary) notes 'strengthened regulations to curb methane emissions in the oil and fossil gas sector and the introduction of an emissions cap for the same sector are still pending.'",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-025,Canada,D4,Adaptation Finance,"National Adaptation Strategy (NAS, 2023) and federal Adaptation Action Plan; Canada's international climate finance commitment (2021)","NAS launch included CAD 1.6 billion in new federal funding over 5 years; cumulative federal adaptation investment exceeds $6.5 billion since 2015 ($2 billion since fall 2022 for NAS implementation specifically), with disaster-relief-inclusive federal spending over $10 billion. Internationally, Canada doubled its climate finance commitment to CAD 5.3 billion (2021–2026) and joined the Champions Group on Adaptation Finance advocating a doubling of global adaptation finance.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Exploratory 119-cell review
GC-026,Canada,D5,Loss and Damage,"COP28 backgrounder (Dec 2023, ECCC); National Adaptation Strategy (2023), international geopolitics/loss-and-damages risk section","Canada announced CAD 16 million in seed funding to the international Loss and Damage Fund at COP28 (established following the COP27 decision), described as building on Canada's efforts 'to address loss and damage in climate-vulnerable countries,' funded under its CAD 5.3bn international climate finance envelope. The National Adaptation Strategy also names 'loss and damages' explicitly as an international-geopolitics risk category.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",,Exploratory 119-cell review
GC-027,Canada,D6,Transport Sector Targets,"National Zero-Emission Vehicle (ZEV) sales mandate (regulation); Zero Emission Transit Fund (5,000 buses commitment); Zero-Emission Trucking Program ($75.8M)","Canada has a legally mandated national ZEV sales target (100% of new light-duty vehicle sales to be zero-emission by 2035, per the ZEV regulations referenced by CAT), plus dedicated federal funding programs for transit and freight electrification. However, secondary reporting (Climate Scorecard, Aug 2025) notes 'Canadians await a plan to replace carbon pricing and a revisit of Canada's mandate,' with 'EV sales... plummeting due to trade issues with the USA,' signalling political uncertainty around the mandate's durability under the new government.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-028,Canada,D7,LULUCF and Carbon Sinks,"2035 NDC (Feb 2025); 2024/2025 National Inventory Report (NIR), Environment and Climate Change Canada","Canada's 2035 target excludes LULUCF from the 2005 baseline but uses a 'gross-net' approach that partially counts LULUCF sink categories and potential engineered carbon dioxide removal toward achieving the target (Climate Action Tracker, secondary). Critically, 'with improved forestry data in the 2024 National Inventory Report, Canada's LULUCF shifted from a net sink to a net source of emissions across the entire historical period' — i.e., the land sector Canada had been counting on as a sink no longer functions as one in the updated accounting.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-029,China,D1,Renewable Energy Targets,"China's 2035 NDC (submitted UNFCCC Nov 3, 2025, announced by Xi Jinping Sept 24, 2025)","NDC commits to increasing non-fossil energy to 'over 30% of total energy consumption by 2035' (up from a 25% target for 2030) and raising installed wind and solar capacity to 'over 3.6 TW by 2035 (≈ six times 2020 levels).' Per Climate Action Tracker (secondary), China 'has overachieved its 2030 NDC targets for renewable energy capacity... in 2024' and remains on track for its 25% non-fossil share under current policy.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-030,China,D2,Net Zero Pathway,2035 NDC (Nov 2025); Xi Jinping's 2020 UNGA net-zero-by-2060 announcement,"For the first time, China's NDC sets an absolute (not intensity-based) target: reduce economy-wide net GHG emissions 7–10% below peak levels by 2035, 'striving to do better,' reaffirming net-zero by 2060. Climate Action Tracker (secondary) notes this 'represents a shift from intensity-based targets to absolute emission reductions for the first time, albeit from an unclear baseline' since China's peak year is not clearly defined.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-031,China,D3,Methane Reduction,"2035 NDC (Nov 2025), non-CO2 GHG targets; China's Methane Emissions Control Action Plan (Nov 2023); 15th Five-Year Plan","The 2035 NDC covers all GHGs for the first time (previously CO2-only) and sets quantified non-CO2 targets — cutting HFC production/consumption by 'at least 30%' by 2035 and raising livestock manure reuse to over 85% by 2035 — but sets no standalone quantitative methane target. Climate Action Tracker (secondary): 'the absence of standalone quantitative targets for methane... limits accountability,' and China's 2023 Methane Action Plan 'does not specify any quantitative emission reduction' target at all. The 15th FYP's non-CO2 control projects (covering methane, N2O, HFCs together) target just 30 MtCO2e of reduction — small relative to China's methane footprint, especially unaddressed coal-mine methane.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-032,China,D4,Adaptation Finance,2035 NDC (Nov 2025) — 'climate adaptive society' language; National Climate Change Adaptation Strategy 2035 (2022),"The NDC states China will 'basically establish a climate adaptive society' by 2035, building on the 2022 National Climate Change Adaptation Strategy, with measures on monitoring/early warning, ecosystem and economic resilience, and urban resilience. Per Sino-German Cooperation on Climate Change (secondary), 'notably, no quantifiable targets are defined' for these adaptation measures — no domestic adaptation finance figure was found in the NDC or Strategy text.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-033,China,D5,Loss and Damage,"China South-South Climate Cooperation Fund (announced 2015, RMB 20bn/$3.1bn pledge); Xie Zhenhua COP27 statement (2022); WRI China climate finance study (2013–2022)","China has formally declined to pay into the UNFCCC Loss and Damage Fund, with climate envoy Xie Zhenhua stating at COP27 that China 'is not obliged to contribute' as a developing country. However, China does provide L&D-adjacent bilateral support — e.g., 'the $90 million USD that China has provided to flood-hit Pakistan in 2022' — and a broader South-South Climate Cooperation Fund pledge (RMB 20bn/$3.1bn, 2015), though delivery has lagged: 'China has so far delivered 10% of its promised... Fund, or 2 billion yuan' as of COP27 (secondary, Dialogue Earth). A separate WRI analysis found China provided/mobilized $45 billion (2013–2022, ~$4.5bn/yr) in broader climate finance to developing countries, not L&D-specific.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",,Formal cut-off-compliant 8-cell subset
GC-034,China,D6,Transport Sector Targets,"2035 NDC (Nov 2025), transport sectoral targets","NDC commits to making 'new energy vehicles the mainstream in new vehicle sales' by 2035 (no numeric share given), shifting bulk cargo/container freight to waterways and rail, developing multimodal transport systems, and promoting cleaner energy in shipping and aviation. Asia Society (secondary) notes the NEV-mainstream goal is one of the targets that has 'largely already been achieved,' suggesting low incremental ambition. No absolute transport-emissions or numeric electrification-share target is set.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-035,China,D7,LULUCF and Carbon Sinks,2035 NDC (Nov 2025) — forest stock volume and land targets,"NDC commits to forest stock volume exceeding 24 billion cubic meters by 2035 (already at ~21 billion m3 per 2025 progress, European Parliament briefing, secondary), forest coverage above 26%, soil/water conservation to 75%, and protection of at least 3.15 million km² under ecological redlines. Critically, the headline 7–10%-below-peak emissions target is a *net* figure: Climate Action Tracker (secondary) states the target 'applies to net emissions, including the LULUCF sector, which is a net carbon sink in China, as well as other forms of carbon removal, making the target less transparent.'",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-036,EU,D1,Renewable Energy Targets,"Renewable Energy Directive III (Directive (EU) 2023/2413, in force since 2023); 2035 NDC (submitted UNFCCC Nov 2025)","RED III sets a legally binding EU-wide target of at least 42.5% renewable energy share of gross final energy consumption by 2030 (aspiring to 45%), with sub-targets for transport, industry, heating/cooling and buildings, and a binding annual 1.6% increase in industrial renewable use. The 2035 NDC does not set an updated headline renewable-share figure of its own, relying on RED III's binding 2030 target as the operative benchmark.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,,Formal cut-off-compliant 8-cell subset
GC-037,EU,D2,Net Zero Pathway,"2035 NDC (submitted UNFCCC Nov 2025); European Climate Law amendment (2040 target, Council position Nov 5, 2025)","NDC sets an indicative 2035 range of 66.25–72.5% below 1990 (derived from linear trajectories between the 2030 target of 55% and the 2050 net-zero goal), alongside a newly agreed 2040 target of 90% below 1990 (with up to 5 percentage points from international carbon credits from 2036, making the effective domestic target 85%). Climate neutrality by 2050 remains the anchor goal (European Climate Law).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-038,EU,D3,Methane Reduction,"EU Methane Regulation (Regulation (EU) 2024/1787, final approval May 2024); EU Methane Strategy (2020); Global Methane Pledge (co-launched with US, COP26 2021)","The EU adopted the first legally binding regulation specifically targeting methane emissions in the energy sector (oil, gas, coal), covering monitoring, reporting, verification, and leak detection/repair requirements. The EU also co-launched the Global Methane Pledge (30% cut vs 2020 by 2030, non-binding, collective). However, the binding regulation's scope is limited to the energy sector; no economy-wide quantified methane reduction target (covering agriculture and waste as well) was found in the NDC.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
