Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-011,Australia,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"National Adaptation Plan (NAP, DCCEEW, released Sept 2025), Introduction; 2025–26 Budget","NAP: 'There is already extensive action... with $3.6 billion committed to adaptation and resilience measures since 2022 and around $9 billion out to 2030.' The 2025–26 Budget adds $354 million in new adaptation funding plus $632.5 million over the medium term. Funding is domestic and largely unconditional (government-committed), though the NAP itself states 'there is an adaptation action shortfall across all systems, risks, jurisdictions, and geographies.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs.",0.65,Significant,Significant,High,"Real, quantified, multi-year domestic adaptation funding streams exist (a stronger evidentiary position than Argentina's aggregated figure), but independent analysis (IGCC, secondary) notes the NAP 'lacks firm commitments... no clear timelines, and no flagship actions with funding attached,' which keeps this short of 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-012,Australia,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","DFAT Pacific regional climate finance page; Pacific Resilience Facility (Australian Government commitment, referenced alongside the 2035 target)","No domestic loss-and-damage finance need or liability/compensation claim is made for Australia itself (as a developed country, its L&D exposure is treated as an international-support question, not a domestic one). Internationally, Australia funds the Pacific Resilience Facility, which 'will provide grants for climate adaptation, disaster preparedness, nature-based solutions and projects which respond to loss and damage,' as part of AUD3.9 billion in climate finance delivered 2020–25 (AUD1.3 billion to the Pacific).",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Significant,Medium,"The system's default 'Absent' appears based on there being no domestic NDC-text L&D clause, but a real, quantified, named L&D-responsive finance commitment exists via the Pacific Resilience Facility — it is international-facing rather than a domestic need statement, which is the correct scope for a developed-country NDC, so 'Absent' undersells the evidence found.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-013,Australia,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,Transport Sector Plan 2025 (Dept. of Infrastructure); Net Zero Plan; National Electric Vehicle Strategy / New Vehicle Efficiency Standard,Sets 5 qualitative 'priority actions' (electrify and increase transport energy performance; switch to low-carbon liquid fuels where electrification isn't feasible; invest in enabling infrastructure; innovate; reduce embodied emissions) aiming to 'prevent transport from becoming the top emissions source by 2030' — no quantified transport-sector emissions-reduction percentage or electrification-share target found in the primary plan text.,IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') looks like a placeholder for missing data rather than a genuine evaluation — the Transport Sector Plan is real and directionally matches AR6's electrification logic, but sets no numeric target, so it cannot be meaningfully benchmarked against AR6's quantified 59%-by-2050 figure.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-014,Australia,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets","2035 NDC / Net Zero Plan (DCCEEW, Sept 2025), p.44 vicinity; Climate Change Authority 2035 Targets Advice; ACCU Scheme (Clean Energy Regulator)","LULUCF is embedded in the headline target: the 43%-by-2030 figure includes LULUCF, but is only ~23% excluding it (Climate Action Tracker, secondary, citing DCCEEW projections). The Net Zero Plan explicitly relies on 'an increasingly large amount of carbon removals to 2050 through reforestation and other land sector activities' — IGCC (secondary) cites land sequestration growing from ~74 MtCO2e/yr (2025) to ~167 MtCO2e/yr (2050), with ACCUs (Australian Carbon Credit Units) and Article 6 international units both permitted as offsets under the Safeguard Mechanism.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",1,Absent,Critical,High,"The system's default score (1.00 → 'Absent') is inconsistent with the evidence — LULUCF is not absent, it is heavily and increasingly relied upon. Climate Action Tracker notes successive upward revisions to projected LULUCF sequestration have made 'the NDC target progressively easier to reach' without corresponding gross cuts elsewhere — a genuine integrity/additionality concern that argues for 'Critical' rather than either 'Absent' or a clean 'Aligned'/'Significant.'",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-015,Brazil,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"Brazil's Second/2035 NDC (submitted UNFCCC Nov 2024, COP29); Ten-Year Energy Expansion Plan (EPE); Novo PAC infrastructure programme","NDC states renewables (hydro, wind, solar) already comprise '89.1% of the country's electricity mix' and commits only qualitatively to 'seek to expand electricity generation with an increased share of technology and clean sources' — no fixed numeric 2035 renewable-share target. The Ten-Year Energy Expansion Plan projects renewables at ~86% of the electricity mix by 2034, 'indicating little change from current levels'; Novo PAC targets 80% of *added* capacity from renewables but allocates only ~12% of total plan investment to renewable energy.",IPCC AR6 WGIII Ch.6; SPM.3,"1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050. Climate Analytics' Brazil-specific 1.5°C-compatible benchmark (secondary, derived from AR6 methodology) is 97–98% renewables share in electricity generation.",0.7,Significant,Significant,High,"Brazil starts from an unusually high renewable baseline (89.1%), but the NDC sets no numeric target to lock in progress, and near-term plans (Ten-Year Energy Plan, Novo PAC) show the share stagnating or declining as gas and nuclear generation expand — falling short of the ~97-98% 1.5°C-aligned benchmark rather than closing on it.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-016,Brazil,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","2035 NDC (Nov 2024); National Mitigation Strategy (ENM, 2025); revised National Climate Change Policy (PNMC)","NDC includes a goal to reach 'climate neutrality by 2050 (for all GHGs)' covering all sectors, with an interim 2035 emissions ceiling of 0.85–1.05 GtCO2e (59–67% below 2005). The National Mitigation Strategy separately sets a more ambitious 2040 carbon-neutrality goal, but for CO2 only. Brazil has not yet submitted a Long-Term Strategy to the UNFCCC.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Significant,High,"2050 all-GHG neutrality target exists and is timed consistently with AR6, but Climate Action Tracker (secondary) rates the 2035 NDC 'not 1.5°C aligned,' noting the ambition gap versus a modelled domestic pathway 'has grown compared to 2030,' and that the target is heavily reliant on transforming the land sector into a net sink rather than genuine cuts across the rest of the economy.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-017,Brazil,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"Global Methane Pledge signatory (COP26, 2021); NDC 'national mitigation objectives' text (Nov 2024); Plano Clima agriculture & livestock sector plan (2025)","Brazil signed the Global Methane Pledge, committing to 'reducing 30% of its methane emissions by 2030' (collective, non-binding, 2020 baseline). The NDC references reducing non-CO2 GHGs including methane as a mitigation objective, but per investigative reporting (SUMAÚMA, secondary) the agriculture sector plan under Plano Clima 'does not call for a reduction in emissions from agriculture by 2035' — agriculture/livestock is ~half of Brazil's emissions excl. LULUCF, with ~75% of that as methane and N2O from livestock (SEEG data via CAT).",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.85,Critical,Critical,High,"A quantified pledge exists (GMP, 30% by 2030) but the sector responsible for the large majority of Brazil's methane — livestock agriculture — is explicitly exempted from any 2035 reduction requirement in the sectoral implementation plan, which is a direct, well-evidenced disconnect between the pledge and actual sectoral policy.",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-018,Brazil,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"2035 NDC (Nov 2024) — sustainable sovereign bonds; National Adaptation Strategy (ENA, public consultation late 2024); National Adaptation Plan (submitted UNFCCC Feb 2026)","NDC notes Brazil issued '$2bn in sustainable sovereign bonds' (Nov 2023 and June 2024) whose proceeds fund deforestation control, biodiversity conservation, replenishing the Climate Fund, renewable energy/clean transport, and anti-poverty programs — a real but not adaptation-exclusive figure. Brazil has since completed and submitted a full National Adaptation Plan to the UNFCCC (Feb 2026), following 16 sectoral/thematic adaptation plans developed under Plano Clima.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.85,Critical,Significant,Medium,"Brazil now has one of the more complete adaptation planning architectures reviewed so far (ENA + 16 sectoral plans + formally submitted NAP), which argues against 'Critical'/near-absence; however, the only quantified finance figure found in the NDC itself is a mixed-use bond program, not a disaggregated adaptation-finance commitment, so full alignment can't be confirmed from NDC text alone.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-019,Brazil,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","2035 NDC (Nov 2024) — no dedicated loss-and-damage section found; COP30 Belem outcomes (Nov 2025, hosted by Brazil) — Loss and Damage Fund operationalisation, Fund for Responding to Loss and Damage (FRLD)","No specific loss-and-damage finance need, liability/compensation reference, or standalone L&D commitment was found in Brazil's own NDC text. As COP30 host, Brazil convened and helped finalize L&D architecture at the multilateral level (WIM, Santiago Network, FRLD operationalisation), but this is a convening/presidency role in the UNFCCC process rather than a national commitment within Brazil's own NDC.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Absent,Medium,"No relevant NDC-text commitment found, consistent with 'Absent.' Brazil's high-profile role hosting COP30's loss-and-damage outcomes is real and worth noting in context, but it is an institutional/process contribution, not a quantified national L&D commitment comparable to the other dimensions' evidence bar.",Partly,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-020,Brazil,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2024), transport sectoral mitigation plan text; RenovaBio (National Biofuels Policy, Law 13,576/2017); Future Fuel Law (Law 14,993/2024)","NDC transport plan commits to 'replacing fossil fuels with electricity and biofuels,' with hydrogen anticipated by 2035 and sub-sector-specific instruments for aviation, rail, road, and maritime transport. RenovaBio does carry a quantified target — reducing the carbon intensity of transport fuels by approximately 12% by 2035 (via ~600 million CBIO credits) — but this is a fuel carbon-intensity metric, not an absolute transport-emissions target, and Climate Action Tracker (secondary) notes the NDC 'fails to include a fixed timeline for phasing out fossil fuels' in transport.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') again looks like a missing-data placeholder rather than a genuine evaluation. A quantified sub-target exists (RenovaBio's ~12% carbon-intensity cut by 2035), but it measures fuel carbon intensity rather than absolute transport emissions, so it cannot be directly benchmarked against AR6's 59%-by-2050 absolute-emissions metric — a genuine scope/metric mismatch.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-021,Brazil,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets","2035 NDC / National Mitigation Strategy sectoral contributions (2025); Tropical Forests Forever Fund (TFFF, launched COP30 Nov 2025)","Following the 2035 NDC, Brazil's National Mitigation Strategy and Plano Clima sectoral contributions reveal the target relies on 'large reductions in the land use, land use change and forestry (LULUCF) sector, while projected emissions in other key sectors such as industry, agriculture, energy and transport remain stable or even increase' (Climate Action Tracker, secondary, characterizing the published sectoral plan data). Brazil launched the Tropical Forests Forever Fund at COP30 (raised $5.5–6.7bn of a $25bn goal), a performance-based payment mechanism rewarding standing forest, and the NDC signals intent to use Article 6 to sell part of its emission reductions internationally.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Critical,High,"LULUCF is not just embedded but is explicitly the primary mechanism carrying Brazil's target, while CAT states this approach is 'effectively slowing down the much needed fossil fuel phase out and emissions reductions in other sectors' — a direct, well-evidenced substitution risk (using forest-sector gains to avoid decarbonising energy, industry, transport and agriculture) that argues for 'Critical' over the system's 'Significant.'",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-022,Canada,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"Clean Electricity Regulations (finalized Dec 2024, CEPA 1999); Powering Canada's Future / National Electricity Strategy (NRCan)","Federal regulation mandates a net-zero-emitting electricity grid starting in 2035 (limited, capped exceptions for CCS-equipped or short-life gas units). Primary source (Zero Emission Transit Fund page, NRCan) states 'Canada generates approximately 82% of its electricity from zero emission power sources' already, with six provinces above 90%. The National Electricity Strategy also targets doubling electricity supply by 2050 to support economy-wide electrification.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.7,Significant,Aligned,Medium,"Canada is already close to the AR6 low-carbon-electricity share (82% today) and has a legislated target reaching effectively 100% non-emitting by 2035 — well ahead of AR6's 2050 horizon. Caveat: the target is 'net-zero-emitting' (includes CCS-equipped and limited-life gas), not strictly 'renewable,' which is a modest scope difference from the dimension's literal wording, but functionally the strongest D1 case reviewed so far.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-023,Canada,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","2035 NDC (submitted UNFCCC Feb 11, 2025); Canadian Net-Zero Emissions Accountability Act (2021)","NDC commits to 45–50% below 2005 levels by 2035, building on the existing 40–45%-by-2030 target, all sectors/gases, with net-zero by 2050 legislated under the CNZEAA. Notably, 'the submission did not increase ambition for 2030' (Climate Action Tracker, secondary).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Significant,High,"Legislated, all-sector 2050 target is timed consistently with AR6, but CAT rates Canada's overall climate action 'Highly Insufficient,' citing weakened policy ambition (including the 2025 removal of the consumer carbon price) and a 2035 target increase CAT calls only 'modest' relative to 2030 — a real implementation gap short of full alignment.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-024,Canada,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,Canada's Methane Strategy (2022); 2030 Emissions Reduction Plan,"Canada's Methane Strategy 'outlines measures to further reduce domestic methane emissions by more than 35% by 2030, compared with 2020 levels' — a specific, quantified national target (not just a pledge), covering the oil & gas sector primarily. CAT (secondary) notes 'strengthened regulations to curb methane emissions in the oil and fossil gas sector and the introduction of an emissions cap for the same sector are still pending.'",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.65,Significant,Significant,High,"This is the strongest national (not just pledge-level) methane commitment reviewed so far — a specific >35%-by-2030 target roughly matching AR6's 34% benchmark in ambition, though on a 2020 rather than 2019 baseline. Falls short of 'Aligned' because key implementing regulations (oil & gas methane rules, sector emissions cap) remain unfinished per CAT.",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Exploratory 119-cell review
