Question Number,Question ID,Category,Difficulty,Question,Source Document Hint,Author-Prepared Reference Answer
54,C024,COMPARATIVE,HARD,Compare the transparency and reporting commitments in Japan's and South Korea's NDC2 submissions.,NDC2_2021_Japan,"Both Japan and South Korea commit to biennial transparency reporting under the Paris Agreement. Japan emphasises the Transparency Framework and details monitoring, reporting and verification through its Basic Environment Plan. South Korea's NDC2 references its monitoring framework tied to the K-ETS and carbon inventory system. Japan's reporting structure is more explicitly linked to domestic legislation (Act on Promotion of Global Warming Countermeasures)."
18,F018,FACTUAL,MEDIUM,What are Mexico's unconditional and conditional GHG reduction targets under its NDC2?,NDC2_2022_Mexico,"Mexico's NDC2 commits to an unconditional reduction of 35 percent and a conditional reduction of 40 percent in national greenhouse gas emissions by 2030, compared to a business-as-usual scenario. Mexico also targets 35 percent renewable energy by 2024."
47,C017,COMPARATIVE,HARD,How do the USA's and EU's NDC2 submissions address methane reduction compared to the IPCC-recommended 34 percent reduction by 2030?,NDC2_2021_USA,The USA's NDC2 includes methane under its economy-wide 50-52% GHG reduction target and supports the Global Methane Pledge targeting 30% reduction by 2030. The EU's NDC2 includes methane in its 55% GHG reduction target and has published a Methane Strategy. Neither explicitly states a methane-specific percentage target aligned with the IPCC's 34% recommendation in their NDC text. The Global Methane Pledge's 30% target falls short of the IPCC 34% recommendation.
29,F029,FACTUAL,HARD,Does Indonesia's NDC2 explicitly address loss and damage from climate change?,NDC2_2022_Indonesia,"Indonesia's NDC2 does not use the specific term 'loss and damage' but acknowledges irreversible climate impacts through its climate resilience framework. The NDC discusses economic and non-economic losses from extreme weather events and sea level rise, particularly affecting coastal communities, without providing specific finance commitments."
16,F016,FACTUAL,EASY,What is South Korea's 2030 NDC target expressed as a percentage reduction from BAU?,NDC2_2021_South_Korea,South Korea commits to reducing national greenhouse gas emissions by 40 percent compared to the 2018 business-as-usual levels by 2030.
9,F009,FACTUAL,MEDIUM,What net zero target has the UK set and what legislation underpins it?,NDC2_2022_UK,"The UK targets net zero greenhouse gas emissions by 2050, enshrined in the Climate Change Act 2008 as amended in 2019. This makes the UK the first major economy to set a net zero target in law."
72,G017,GAP DETECTION,HARD,What is the gap in G20 NDC2 submissions regarding nature-based solutions and biodiversity protection compared to IPCC recommendations?,WG3_Chapter06_EnergySystems_2022,IPCC AR6 WG3 Chapter 7 identifies nature-based solutions as providing 10-12 GtCO2e/year of mitigation potential by 2030. Most G20 NDC2 submissions mention forests and land use but few provide quantified nature-based solution targets. Brazil is most explicit with its deforestation targets. Indonesia addresses ecosystem protection. Argentina references grassland preservation. Most G20 developed economy NDC2 submissions do not provide nature-based solutions targets for their own territories at the quantified level IPCC recommends.
40,C010,COMPARATIVE,HARD,How does the UK's NDC2 assess its per-capita emissions relative to global 1.5 degree pathway benchmarks?,NDC2_2022_UK,"The UK's NDC2 states that based on latest estimates, the UK's NDC suggests that emissions per person in 2030 would be below 4 tCO2e, which is comparable to the range of 3.5 to 4 tCO2e estimated as the global per-capita level consistent with limiting warming to 1.5°C. This self-assessment positions the UK as broadly aligned with the 1.5°C per-capita benchmark."
31,C001,COMPARATIVE,HARD,Compare the 2030 GHG reduction targets of the United States and the European Union. Which is more ambitious and why?,NDC2_2021_USA,"The USA targets 50-52% reduction below 2005 levels by 2030. The EU targets at least 55% net reduction below 1990 levels by 2030. Comparing ambition requires adjusting for different baseline years. The EU's 1990 baseline includes post-Soviet economic decline in Eastern Europe, making direct comparison difficult. Climate Action Tracker rates both as 'insufficient' relative to a 1.5°C pathway, though the EU target is generally considered marginally more ambitious on a per-capita basis."
65,G010,GAP DETECTION,HARD,What is the gap in G20 NDC2 submissions regarding loss and damage compared to IPCC AR6 WG2 findings on irreversible climate impacts?,WG2_Chapter17_DecisionMakingRisk_2022,"IPCC AR6 WG2 Chapter 17 states that loss and damage from climate change is now unavoidable even with adaptation, and financial mechanisms for loss and damage are urgently needed. Among G20 NDC2 submissions: no developed G20 nation provides specific loss and damage finance commitments. The term 'loss and damage' appears in some developing nation NDCs (India mentions impacts) but without specific finance amounts. GAP: The IPCC explicitly calls for loss and damage finance mechanisms, but no G20 NDC2 includes a quantified loss and damage finance commitment from any developed nation."
1,F001,FACTUAL,EASY,What is India's target for cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030?,NDC2_2022_India,India targets achieving about 50 percent cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030. This commitment is conditional on international finance and technology transfer.
2,F002,FACTUAL,EASY,"By how much does India commit to reducing the emissions intensity of its GDP by 2030, compared to 2005 levels?",NDC2_2022_India,"India commits to reducing the emissions intensity of its GDP by 45 percent by 2030, compared to 2005 levels. This is an updated target from the original 33-35 percent in India's NDC1."
3,F003,FACTUAL,MEDIUM,What is India's target for additional carbon sink creation through forest and tree cover by 2030?,NDC2_2022_India,India targets creating an additional carbon sink of 2.5 to 3 billion tonnes of CO2 equivalent through additional forest and tree cover by 2030.
4,F004,FACTUAL,EASY,When does China commit to achieving peak CO2 emissions under its NDC2?,NDC2_2021_China,"China commits to peaking CO2 emissions before 2030, as stated in its 2021 NDC update. China also commits to achieving carbon neutrality before 2060."
5,F005,FACTUAL,EASY,What is China's 2030 target for installed capacity of wind and solar power?,NDC2_2021_China,"China targets reaching over 1,200 gigawatts of wind and solar power installed capacity by 2030."
6,F006,FACTUAL,MEDIUM,What share of non-fossil fuels in primary energy consumption does China target by 2030?,NDC2_2021_China,"China targets increasing the share of non-fossil fuels in primary energy consumption to around 25 percent by 2030, an increase from the earlier 20 percent target in the previous NDC."
7,F007,FACTUAL,EASY,What is the United States' 2030 economy-wide greenhouse gas emissions reduction target under its NDC2?,NDC2_2021_USA,The United States targets reducing its economy-wide net greenhouse gas emissions by 50 to 52 percent below 2005 levels by 2030.
8,F008,FACTUAL,EASY,What is the United Kingdom's 2030 greenhouse gas reduction target and the baseline year used?,NDC2_2022_UK,"The United Kingdom commits to reducing economy-wide greenhouse gas emissions by at least 68 percent by 2030, compared to 1990 levels. This is the UK's first NDC submitted after leaving the European Union."
11,F011,FACTUAL,EASY,What is Japan's 2030 greenhouse gas reduction target and what baseline year does it use?,NDC2_2021_Japan,"Japan commits to reducing greenhouse gas emissions by 46 percent by fiscal year 2030 compared to fiscal year 2013 levels, and aims for a further 50 percent reduction through continuous efforts."
12,F012,FACTUAL,EASY,What is Australia's 2030 emissions reduction target and net zero commitment year?,NDC2_2022_Australia,Australia commits to reducing greenhouse gas emissions by 43 percent below 2005 levels by 2030. Australia also commits to net zero emissions by 2050.
13,F013,FACTUAL,MEDIUM,What is Brazil's 2030 absolute emissions reduction target and baseline year?,NDC2_2022_Brazil,"Brazil commits to reducing greenhouse gas emissions by 50 percent by 2030 compared to 2005 levels, as stated in its updated 2023 NDC adjustment. Brazil also commits to achieving climate neutrality by 2050."
14,F014,FACTUAL,MEDIUM,What are Indonesia's unconditional and conditional GHG reduction targets by 2030?,NDC2_2022_Indonesia,Indonesia commits to an unconditional reduction of 31.89 percent and a conditional reduction of 43.20 percent below the business-as-usual scenario by 2030. The conditional target depends on international support.
15,F015,FACTUAL,HARD,What are Indonesia's primary climate adaptation priorities identified in its NDC2?,NDC2_2022_Indonesia,"Indonesia's NDC2 identifies the following primary adaptation priorities: food security and agriculture, water resources and watershed management, marine and coastal ecosystems, health, and cross-cutting issues including infrastructure resilience and climate resilient development pathways."
17,F017,FACTUAL,EASY,What is Canada's 2030 emissions reduction commitment range and its baseline?,NDC2_2021_Canada,"Canada commits to reducing national greenhouse gas emissions by 40 to 45 percent below 2005 levels by 2030, with a 2050 net zero target enshrined in the Canadian Net-Zero Emissions Accountability Act."
19,F019,FACTUAL,HARD,What is South Africa's NDC2 emissions range target for the period 2025-2030?,NDC2_2021_South_Africa,South Africa commits to a greenhouse gas emission range of 350 to 420 MtCO2e per year for the period 2025 to 2030. This represents a peak-plateau-decline trajectory.
20,F020,FACTUAL,MEDIUM,What is Saudi Arabia's NDC2 absolute emissions reduction target by 2030?,NDC2_2021_Saudi_Arabia,Saudi Arabia commits to achieving a reduction and avoidance of greenhouse gas emissions of 278 million tonnes of CO2 equivalent per year by 2030. This includes both mitigation and circular carbon economy measures.
21,F021,FACTUAL,MEDIUM,What is Argentina's 2030 absolute emissions cap under its NDC2?,NDC2_2021_Argentina,Argentina commits to not exceeding the net emission of 349 million tonnes of CO2 equivalent in 2030. This represents an unconditional absolute cap.
22,F022,FACTUAL,EASY,What is Turkey's 2030 GHG reduction target relative to BAU?,NDC2_2023_Turkey,Turkey commits to reducing greenhouse gas emissions by up to 41 percent compared to the business-as-usual scenario by 2030.
23,F023,FACTUAL,MEDIUM,What is Russia's 2030 GHG reduction target and the baseline used in its NDC2?,NDC2_2022_Russia,"Russia commits to limiting greenhouse gas emissions to 70 percent of 1990 levels by 2030, which is equivalent to a 30 percent reduction below 1990 levels, subject to maximum possible accounting of the absorptive capacity of forests."
25,F025,FACTUAL,MEDIUM,"According to IPCC AR6 WG3, what renewable electricity share is required by 2050 for 1.5 degree pathways?",WG3_Chapter06_EnergySystems_2022,IPCC AR6 WG3 Chapter 6 states that renewable electricity reaches 70 to 85 percent of global electricity supply by 2050 in pathways that limit warming to 1.5°C with no or limited overshoot.
26,F026,FACTUAL,HARD,What does IPCC AR6 WG3 state about the required trajectory for methane emissions to limit warming to 1.5 degrees?,WG3_SPM_2022,IPCC AR6 WG3 states that methane emissions need to be reduced by approximately 34 percent by 2030 relative to 2019 levels in pathways that limit warming to 1.5°C. Methane reductions provide near-term climate benefits by reducing warming rates.
27,F027,FACTUAL,HARD,"According to IPCC AR6 WG3, what share of global electricity supply did renewables reach by 2019 and what was the cost trend?",WG3_Chapter06_EnergySystems_2022,IPCC AR6 WG3 reports that renewables accounted for about 29 percent of global electricity supply in 2019. The cost of solar PV fell by approximately 85 percent and wind energy by approximately 55 percent between 2010 and 2019.
30,F030,FACTUAL,HARD,What international climate finance condition does India attach to its NDC2 commitments?,NDC2_2022_India,"India conditions its NDC2 targets on receiving adequate technology transfer, capacity building, and climate finance from developed countries. Specifically, the 50 percent non-fossil electricity capacity target and the 45 percent emissions intensity reduction are described as conditional on international support as per the provisions of the UNFCCC and Paris Agreement."
32,C002,COMPARATIVE,HARD,"Compare the net zero target years and legislative bases of the UK, EU, Canada, and Japan.",NDC2_2022_UK,"UK: net zero by 2050, enshrined in Climate Change Act (amended 2019). EU: climate neutrality by 2050, enshrined in European Climate Law (2021). Canada: net zero by 2050, enshrined in Canadian Net-Zero Emissions Accountability Act (2021). Japan: carbon neutral by 2050, announced in 2020 and reflected in NDC2."
33,C003,COMPARATIVE,HARD,Compare India's and China's renewable energy commitments in their NDC2 submissions. Which country has a more specific and measurable target?,NDC2_2022_India,"India commits to 50 percent cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030. China commits to over 1,200 GW of wind and solar capacity by 2030 and 25 percent non-fossil fuels in primary energy. China's capacity target (1,200 GW) is more specific and measurable than India's percentage share target, which lacks a clear baseline. However, India's target is directly tied to electricity capacity share, while China's mixes capacity with primary energy metrics."
34,C004,COMPARATIVE,HARD,"Why is it difficult to directly compare Japan's 2030 target with the USA's 2030 target, and how should researchers adjust for this?",NDC2_2021_Japan,"Japan uses fiscal year 2013 as its baseline, while the USA uses calendar year 2005. These are different years with different emission levels, making a direct percentage comparison misleading. Japan's 46% below 2013 translates to approximately a 50% reduction below 2005 levels when adjusted using emission trajectories, making the targets roughly comparable. Researchers should convert all targets to a common reference year (e.g., 2019 or absolute MtCO2e) for valid cross-country comparisons."
35,C005,COMPARATIVE,HARD,"Compare the use of conditional targets in Indonesia's, Mexico's, and India's NDC2 submissions.",NDC2_2022_Indonesia,"All three countries use conditional and unconditional target structures. Indonesia: 31.89% unconditional, 43.20% conditional. Mexico: 35% unconditional, 40% conditional. India: all major targets are conditional on international support, including the 50% non-fossil capacity target. Indonesia has the largest gap between conditional and unconditional targets (11.3 percentage points), indicating greatest dependence on international finance."
36,C006,COMPARATIVE,HARD,Compare the 2030 ambition level of Australia's NDC2 against the UK's NDC2 using the same baseline year.,NDC2_2022_Australia,"Australia targets 43% below 2005 levels by 2030. The UK targets at least 68% below 1990 levels by 2030. When UK's target is rebaselined to 2005, it is approximately 50-53% below 2005 levels, slightly above Australia's 43%. The UK is generally rated more ambitious by Climate Action Tracker. Both countries target net zero by 2050."
37,C007,COMPARATIVE,HARD,How do Brazil's and Indonesia's NDC2 submissions differ in their approach to forest-related climate commitments?,NDC2_2022_Brazil,"Brazil's NDC2 commits to ending illegal deforestation by 2030 and restoring 12 million hectares of forests, treating forests primarily as a mitigation tool via LULUCF accounting. Indonesia's NDC2 includes a forestry and peatland sector with specific emission reduction targets and emphasises sustainable forest management as both mitigation and adaptation. Indonesia is more explicit about adaptation co-benefits, while Brazil focuses more on absolute deforestation cessation."
38,C008,COMPARATIVE,HARD,Which G20 countries in the corpus explicitly mention carbon pricing mechanisms in their NDC2 submissions?,NDC2_2021_South_Korea,South Korea explicitly mentions its Emissions Trading Scheme (K-ETS) as a central mechanism for achieving its 40% reduction target. The EU references the EU ETS as a core policy instrument. Canada references its carbon pricing system. Japan mentions its Green Innovation Fund and transition finance mechanisms but is less explicit about carbon pricing. China references its national ETS launched in 2021.
41,C011,COMPARATIVE,HARD,Compare the greenhouse gas scope coverage between Saudi Arabia's NDC2 and South Africa's NDC2.,NDC2_2021_Saudi_Arabia,"Saudi Arabia's NDC2 covers CO2, CH4, and N2O but emphasises circular carbon economy principles including carbon capture and utilisation. South Africa's NDC2 covers all six Kyoto Protocol gases (CO2, CH4, N2O, HFCs, PFCs, SF6) and uses a peak-plateau-decline trajectory rather than a single year target. South Africa's coverage is more comprehensive in gas scope, while Saudi Arabia places greater emphasis on carbon management technologies."
43,C013,COMPARATIVE,HARD,Which countries in the G20 corpus include explicit electric vehicle targets in their NDC2 submissions?,NDC2_2021_South_Korea,"South Korea includes explicit EV targets in its NDC2, targeting 3.62 million electric vehicles and 290,000 hydrogen vehicles by 2030. The UK targets ending the sale of new petrol and diesel cars by 2030. The EU references the Green Deal's ambition for 30 million zero-emission vehicles by 2030. China mentions targets for new energy vehicles as part of its sectoral roadmap but the NDC2 text is less specific."
45,C015,COMPARATIVE,HARD,Which G20 NDC2 submissions in the corpus explicitly address just transition principles for workers in fossil fuel industries?,NDC2_2021_South_Africa,"South Africa's NDC2 is the most explicit about just transition, dedicating a section to the Presidential Climate Commission and the need to manage coal sector decline affecting 120,000 direct workers. The UK mentions its Just Transition Commission for Scotland. Canada references just transition for oil and gas workers. Most other G20 NDC2 submissions mention the concept but without specific worker protection commitments or finance mechanisms."
46,C016,COMPARATIVE,HARD,Which has a more ambitious 2030 target relative to the IPCC 1.5°C benchmark — India or Australia?,NDC2_2022_India,"Both India and Australia have targets rated as insufficient by Climate Action Tracker relative to a 1.5°C pathway. Australia's 43% absolute reduction below 2005 by 2030 is a stronger unconditional commitment than India's conditional 50% non-fossil capacity target. However, India's per-capita emissions are far lower, and its development context means the CBDR principle is relevant. The IPCC WG3 requires 43% global GHG reduction by 2030 vs 2019 — neither country's current NDC meets this benchmark on its own."
48,C018,COMPARATIVE,HARD,Compare how Russia and Brazil account for LULUCF in their NDC2 submissions.,NDC2_2022_Russia,"Russia's NDC2 explicitly conditions its 30% reduction target on maximum possible accounting of the absorptive capacity of forests, potentially allowing significant LULUCF credits that could weaken effective mitigation. Brazil's NDC2 focuses on halting illegal deforestation by 2030 and restoring forest cover, treating forests as an active mitigation measure rather than an accounting offset. Russia's approach raises more concerns about LULUCF accounting loopholes."
49,C019,COMPARATIVE,HARD,Compare the overall ambition of G20 collective NDC2 targets against the IPCC-recommended 2030 pathway. Is the collective on track?,WG3_TechnicalSummary_2022,"IPCC AR6 WG3 requires approximately 43% global GHG reduction by 2030 vs 2019. The IPCC Synthesis Report (2023) states that implementation of current NDCs would lead to approximately 10-16% GHG increase above 2019 levels by 2030, creating a significant emissions gap. The collective G20 NDC2 commitments fall substantially short of the 1.5°C pathway. Even if all NDCs were fully implemented, warming would be limited to approximately 2.5°C."
50,C020,COMPARATIVE,HARD,Which developing G20 countries in the corpus make the strongest explicit calls for adaptation finance from developed nations?,NDC2_2022_India,"India's NDC2 makes the most explicit calls for adaptation finance, stating that its adaptation efforts will require international financial support and that developed countries must honour their USD 100 billion per year commitment. South Africa's NDC2 also emphasises the need for climate finance for its just transition. Indonesia's NDC2 conditions its higher targets on international support. By contrast, Brazil's NDC2 focuses more on domestic mitigation commitments."
51,C021,COMPARATIVE,MEDIUM,Compare the sector coverage of Canada's and Mexico's NDC2 submissions.,NDC2_2021_Canada,"Canada's NDC2 covers energy, buildings, transport, industry, agriculture, forestry, and waste sectors with specific measures for each. Mexico's NDC2 similarly covers energy, transport, agriculture, forestry, and industrial processes, but places greater emphasis on distributed renewable energy and energy efficiency in buildings. Canada provides more detailed sector-level quantification while Mexico's sectoral targets are more qualitative in nature."
52,C022,COMPARATIVE,HARD,How do China's and South Korea's NDC2 submissions differ in their approach to hydrogen as a clean energy technology?,NDC2_2021_South_Korea,"South Korea's NDC2 explicitly targets 290,000 hydrogen fuel cell vehicles and 450 hydrogen refuelling stations by 2030, and includes hydrogen in its industrial decarbonisation strategy. China's NDC2 does not explicitly target hydrogen in its submitted text, though China has subsequently published a national hydrogen strategy. South Korea's hydrogen commitment in the NDC text is more specific and measurable."
53,C023,COMPARATIVE,HARD,"Why do Russia's and Turkey's NDC2 targets appear modest compared to other G20 nations, and what contextual factors explain this?",NDC2_2022_Russia,"Russia's 30% below 1990 levels target appears modest because Russia's emissions fell dramatically after the Soviet Union's collapse in 1991, so the 1990 baseline was already very high. Turkey ratified the Paris Agreement only in 2021 and its NDC2 is effectively its first, limiting the depth of ambition. Both countries have large fossil fuel industries that influence their targets. Russia also uses LULUCF accounting to soften effective reductions."
55,C025,COMPARATIVE,HARD,Which G20 NDC2 submissions explicitly address gender equity and social inclusion in climate action?,NDC2_2021_Argentina,Argentina's NDC2 is notable for explicitly integrating gender perspectives and references Argentina's National Action Plan on Gender and Climate Change. South Africa's NDC2 addresses social equity through its just transition framework. Indonesia's NDC2 includes social safeguards. Most other G20 NDC2 submissions treat gender and social equity as implicit or secondary. Argentina stands out as the only G20 country with a standalone gender-climate integration framework referenced in its NDC2.
57,G002,GAP DETECTION,HARD,Identify the gap between India's NDC2 long-term targets and IPCC AR6 net zero recommendations for developing nations.,NDC2_2022_India,"India has no net zero target year specified in its NDC2. IPCC AR6 WG3 states that reaching net zero CO2 by around 2050 globally is required for 1.5°C, with developing nations potentially having slightly later timelines. India has subsequently announced a net zero goal of 2070 outside the formal NDC process, but this is not legally binding. GAP: India's NDC2 lacks any long-term net zero trajectory commitment, a significant gap relative to IPCC guidance, even accounting for development context."
58,G003,GAP DETECTION,HARD,Assess the gap between G20 NDC2 methane commitments and IPCC AR6 methane reduction recommendations.,WG3_SPM_2022,"IPCC AR6 requires approximately 34% methane reduction by 2030 vs 2019. Most G20 NDC2 submissions include methane within economy-wide GHG targets but do not specify standalone methane reduction percentages. The Global Methane Pledge (supported by EU, USA, UK, Canada, Argentina, Brazil) targets only 30% by 2030, falling short of IPCC's 34%. China, India, Russia, and Saudi Arabia have not signed the Global Methane Pledge. GAP: No G20 NDC2 explicitly commits to the 34% methane reduction; most rely on economy-wide accounting that may not achieve the near-term methane cuts needed."
59,G004,GAP DETECTION,HARD,What is the gap between developing G20 nations' identified adaptation needs and the international finance commitments in their NDC2 submissions?,WG2_Chapter17_DecisionMakingRisk_2022,"IPCC AR6 WG2 Chapter 17 identifies that adaptation finance for developing countries is critically insufficient, with annual needs estimated at USD 127 billion by 2030. G20 developing nations' NDC2 submissions identify significant adaptation needs but lack specific finance commitments: India, Indonesia, and South Africa all condition targets on international finance without specifying amounts. The developed G20 nations' NDC2 submissions do not contain specific adaptation finance pledges for developing nations. GAP: Adaptation finance is identified as needed but not quantified or committed in NDC2 texts."
60,G005,GAP DETECTION,HARD,"Which G20 NDC2 submissions in the corpus include coal phase-out commitments, and how does this compare to IPCC guidance?",WG3_Chapter06_EnergySystems_2022,"IPCC AR6 WG3 states that coal in electricity generation must be reduced by 59-78% by 2030 in 1.5°C pathways. Among G20 NDC2 submissions: UK commits to unabated coal exit by 2024 (strongest commitment). The EU references the Green Deal's coal phase-down. Canada commits to no new coal plants and coal phase-out by 2030. Australia and Japan do not include coal phase-out commitments in their NDC2 texts. China, India, Indonesia, and South Africa — as major coal users — make no coal phase-out commitments. GAP: The majority of coal-producing/using G20 nations lack coal phase-out commitments consistent with IPCC guidance."
61,G006,GAP DETECTION,HARD,Identify three G20 NDC2 commitments that are vague and lack measurability compared to IPCC quantified recommendations.,NDC2_2022_Russia,"Three examples of vague NDC2 commitments: (1) Russia's target is conditional on 'maximum possible accounting' of forest absorption without defining this clearly. (2) Saudi Arabia's circular carbon economy approach references carbon capture and utilisation without specific technology targets or timelines. (3) Argentina's conditional target of 369 MtCO2e lacks clarity on which sectors bear the conditional portion. In contrast, IPCC AR6 provides specific sectoral benchmarks (e.g., 70-85% renewable electricity by 2050) that allow clear progress measurement."
62,G007,GAP DETECTION,HARD,What is the gap between G20 NDC2 transport sector commitments and IPCC AR6 WG3 transport decarbonisation recommendations?,WG3_Chapter06_EnergySystems_2022,IPCC AR6 WG3 Chapter 10 recommends a 59-84% reduction in transport emissions by 2050 vs 2020 for 1.5°C pathways. Most G20 NDC2 submissions treat transport as part of economy-wide targets without sector-specific transport emission reduction percentages. South Korea provides specific EV targets. The UK commits to ending petrol/diesel vehicle sales by 2030. Most emerging G20 economies provide no transport-specific targets. GAP: The vast majority of G20 NDC2 submissions lack quantified transport sector decarbonisation targets consistent with IPCC's transport pathway requirements.
63,G008,GAP DETECTION,HARD,Which sectors required by IPCC AR6 for deep decarbonisation are absent or underrepresented in Saudi Arabia's NDC2?,NDC2_2021_Saudi_Arabia,"Saudi Arabia's NDC2 focuses primarily on energy efficiency and renewables within the country's economic diversification agenda, with a 278 MtCO2e reduction target. Missing or underrepresented elements include: (1) No aviation or shipping decarbonisation targets despite being a major oil exporter with significant bunker fuel exports. (2) No explicit industrial process decarbonisation beyond circular carbon economy. (3) No land use or forestry sector commitments. (4) No adaptation finance commitments for vulnerable nations. IPCC AR6 identifies all these as critical for 1.5°C."
66,G011,GAP DETECTION,HARD,Does Australia's 43% reduction by 2030 align with IPCC's recommended pathway for advanced economies?,NDC2_2022_Australia,"IPCC AR6 WG3 requires global GHG emissions to fall 43% below 2019 levels by 2030 for 1.5°C. For developed economies with higher historical emissions and greater capacity, the IPCC and Climate Action Tracker suggest deeper cuts of 50-70% by 2030. Australia's 43% reduction is measured below 2005 levels, not 2019. Australia's 2019 emissions were approximately 5% above 2005, meaning the actual 2030 target in absolute terms is approximately 38-40% below 2019. GAP: Australia's NDC2 target falls short of the IPCC-implied requirement for advanced economies by approximately 10-30 percentage points."
