Cell ID,Entity,Dimension Code,Policy Dimension,Figure 2 System Score,Figure 2 System Class,Source / Note
GC-043,India,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-044,India,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-045,India,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-046,India,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-047,India,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-048,India,D6,Transport Sector Targets,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-049,India,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-050,Indonesia,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-051,Indonesia,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-052,Indonesia,D3,Methane Reduction,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-053,Indonesia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-054,Indonesia,D5,Loss and Damage,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-055,Indonesia,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-056,Indonesia,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-057,Japan,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-058,Japan,D2,Net Zero Pathway,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-059,Japan,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-060,Japan,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-061,Japan,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-062,Japan,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-063,Japan,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-064,Mexico,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-065,Mexico,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-066,Mexico,D3,Methane Reduction,0.8,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-067,Mexico,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-068,Mexico,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-069,Mexico,D6,Transport Sector Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-070,Mexico,D7,LULUCF and Carbon Sinks,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-071,Russia,D1,Renewable Energy Targets,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-072,Russia,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-073,Russia,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-074,Russia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-075,Russia,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-076,Russia,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-077,Russia,D7,LULUCF and Carbon Sinks,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-078,Saudi Arabia,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-079,Saudi Arabia,D2,Net Zero Pathway,0.8,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-080,Saudi Arabia,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-081,Saudi Arabia,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-082,Saudi Arabia,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-083,Saudi Arabia,D6,Transport Sector Targets,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-084,Saudi Arabia,D7,LULUCF and Carbon Sinks,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-085,South Africa,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-086,South Africa,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-087,South Africa,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-088,South Africa,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-089,South Africa,D5,Loss and Damage,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-090,South Africa,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-091,South Africa,D7,LULUCF and Carbon Sinks,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-092,South Korea,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-093,South Korea,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-094,South Korea,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-095,South Korea,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-096,South Korea,D5,Loss and Damage,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-097,South Korea,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-098,South Korea,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-099,Türkiye,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-100,Türkiye,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-101,Türkiye,D3,Methane Reduction,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-102,Türkiye,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-103,Türkiye,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-104,Türkiye,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-105,Türkiye,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-106,United Kingdom,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-107,United Kingdom,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-108,United Kingdom,D3,Methane Reduction,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-109,United Kingdom,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-110,United Kingdom,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-111,United Kingdom,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-112,United Kingdom,D7,LULUCF and Carbon Sinks,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-113,United States,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-114,United States,D2,Net Zero Pathway,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-115,United States,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-116,United States,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-117,United States,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-118,United States,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-119,United States,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
