Question Number,Question ID,Category,Difficulty,Original Evaluation Question,Cleaned Question for Future Use,Question Wording Changed?,Original Author-Prepared Reference Answer,Reviewer Answer,Original Review Outcome,Reviewer Notes,Final Adjudicated Reference Answer,Disposition,Adjudication Rationale,Adjudicated Source Basis,Adjudication Status,Reviewer Confirmation of Final Answer,Reference Set Version
31,C001,COMPARATIVE,HARD,Compare the 2030 GHG reduction targets of the United States and the European Union. Which is more ambitious and why?,Compare the 2030 GHG reduction targets of the United States and the European Union. Which is more ambitious and why?,No,"The USA targets 50-52% reduction below 2005 levels by 2030. The EU targets at least 55% net reduction below 1990 levels by 2030. Comparing ambition requires adjusting for different baseline years. The EU's 1990 baseline includes post-Soviet economic decline in Eastern Europe, making direct comparison difficult. Climate Action Tracker rates both as 'insufficient' relative to a 1.5°C pathway, though the EU target is generally considered marginally more ambitious on a per-capita basis.","The US (NDC2_2021_USA) targets 50–52% below 2005 levels by 2030 (base emissions: 6,635 Mt CO₂e), while the EU (NDC2_2020_EU) targets at least 55% below 1990 levels by 2030 through domestic measures only. However, the EU document notes emissions had already fallen ~26% below 1990 by 2019, with peaks as far back as 1979, meaning much of the reduction reflects prior structural change. The US document notes it was already at 17% below 2005 by 2020, cutting from a higher, more recent baseline. On headline numbers the EU leads, but the real-world ambition gap is smaller than it appears.",Partial,The existing answer is partially correct but includes claims outside the documents. My answer stays fully within the documents while providing stronger context.,"The United States targets a 50-52% reduction below 2005 levels by 2030, while the European Union targets at least a 55% net domestic reduction below 1990 levels by 2030. The EU has the larger headline percentage, but the different baselines and emissions histories prevent a defensible direct ranking without converting both targets to a common absolute-emissions basis. The NDCs themselves report that the EU was about 26% below 1990 in 2019 and the United States about 17% below 2005 in 2020, but those contextual values do not by themselves complete a harmonised comparison.",Clarify,Removed external ratings and per-capita judgements and framed ambition as not directly rankable without harmonisation.,"NDC2_2021_USA, pp. 2-3; NDC2_2020_EU, pp. 6, 12",Adjudicated,Not obtained,v1.0
65,G010,GAP DETECTION,HARD,What is the gap in G20 NDC2 submissions regarding loss and damage compared to IPCC AR6 WG2 findings on irreversible climate impacts?,What is the gap in G20 NDC2 submissions regarding loss and damage compared to IPCC AR6 WG2 findings on irreversible climate impacts?,No,"IPCC AR6 WG2 Chapter 17 states that loss and damage from climate change is now unavoidable even with adaptation, and financial mechanisms for loss and damage are urgently needed. Among G20 NDC2 submissions: no developed G20 nation provides specific loss and damage finance commitments. The term 'loss and damage' appears in some developing nation NDCs (India mentions impacts) but without specific finance amounts. GAP: The IPCC explicitly calls for loss and damage finance mechanisms, but no G20 NDC2 includes a quantified loss and damage finance commitment from any developed nation.","WG2_SPM_2022.pdf (p.13) — actions limiting warming to 1.5°C ""cannot eliminate them all"" (very high confidence).  WG2_Chapter17 (p.25) — L&D assessments in NDCs ""have remained scarce"" (high confidence).  WG2_Chapter18 (p.72) — explicitly flags ""little consideration of the implications of NDCs for poverty and livelihoods"" and ""limits to adaptation"" as key barriers.  Against this, 15 of 17 G20 NDC2s contain zero mention of loss and damage. NDC2_2021_South_Africa.pdf and NDC2_2022_Indonesia.pdf make passing references only — no targets, no finance, no governance.",Partial,"Correct that no G20 NDC2 has quantified L&D finance commitments, but wrong that India mentions impacts (NDC2_2022_India.pdf has zero mentions). The gap is also deeper than finance alone — WG2_Chapter17 (p.25) explicitly states L&D assessments in NDCs ""have remained scarce,"" and WG2_SPM_2022.pdf (p.13) confirms losses cannot be eliminated even at 1.5°C.","IPCC WG2 concludes that losses and damages cannot be eliminated even under strong mitigation and that assessments of loss and damage in NDCs remain scarce. In the assessed G20 NDCs, explicit Loss and Damage treatment is rare, generally qualitative and not accompanied by quantified finance, governance or implementation commitments. South Africa and Indonesia contain limited references; many other submissions do not use the term. The gap is therefore limited explicit recognition and operational treatment within the NDC corpus, not a numerical shortfall from a single IPCC benchmark.",Revise,Removed the incorrect India reference and aligned the answer with D5's qualitative status.,"WG2_SPM_2022, p. 13; WG2_Chapter17_DecisionMakingRisk_2022, p. 25; relevant NDC Loss and Damage passages",Adjudicated,Not obtained,v1.0
8,F008,FACTUAL,EASY,What is the United Kingdom's 2030 greenhouse gas reduction target and the baseline year used?,What is the United Kingdom's 2030 greenhouse gas reduction target and the baseline year used?,No,"The United Kingdom commits to reducing economy-wide greenhouse gas emissions by at least 68 percent by 2030, compared to 1990 levels. This is the UK's first NDC submitted after leaving the European Union.","The United Kingdom commits to reducing economy-wide greenhouse gas emissions by at least 68 percent by 2030, compared to 1990 levels, as communicated in its NDC in December 2020.",Partial,"The 68% target and 1990 baseline are both correct. However, the claim that this is ""the UK's first NDC submitted after leaving the European Union"" is not supported anywhere in the document — that framing/context does not appear in NDC2_2022_UK.pdf and should be dropped or independently verified outside this source.",The United Kingdom commits to reducing economy-wide greenhouse gas emissions by at least 68% by 2030 relative to 1990 levels. The assessed NDC communicates this target without the additional Brexit-related characterization used in the original answer.,Clarify,Retained the correct target and baseline; removed contextual wording not supported by the source document.,"NDC2_2022_UK, p. 5",Adjudicated,Not obtained,v1.0
13,F013,FACTUAL,MEDIUM,What is Brazil's 2030 absolute emissions reduction target and baseline year?,What is Brazil's 2030 absolute emissions reduction target and baseline year?,No,"Brazil commits to reducing greenhouse gas emissions by 50 percent by 2030 compared to 2005 levels, as stated in its updated 2023 NDC adjustment. Brazil also commits to achieving climate neutrality by 2050.","Brazil commits to an absolute net greenhouse gas emission target in 2030 of 1.20 GtCO2e, consistent with a reduction of 53.1 percent compared to 2005 levels using 2005 as its reference year and further reiterates its long-term objective to achieve climate neutrality by 2050. ",Partial,"The baseline year (2005) and the 2050 climate neutrality commitment are correct. However, the reduction figure is wrong: the document states 53.1 percent, not 50 percent, for the 2030 target (corresponding to an absolute target of 1.20 GtCO2e). The ""2023 NDC adjustment"" framing is also not the title of the document used the file is NDC2_2022_Brazil.pdf.","Brazil's 2030 absolute net greenhouse-gas target is 1.20 GtCO2e, corresponding to a 53.1% reduction relative to 2005. The document also reiterates the objective of climate neutrality by 2050.",Revise,Corrected the 2030 reduction from 50% to 53.1% and added the stated absolute level.,"NDC2_2022_Brazil, pp. 1-2",Adjudicated,Not obtained,v1.0
14,F014,FACTUAL,MEDIUM,What are Indonesia's unconditional and conditional GHG reduction targets by 2030?,What are Indonesia's unconditional and conditional GHG reduction targets by 2030?,No,Indonesia commits to an unconditional reduction of 31.89 percent and a conditional reduction of 43.20 percent below the business-as-usual scenario by 2030. The conditional target depends on international support.,"Indonesia commits to an unconditional reduction of 29 percent against the business-as-usual (BAU) scenario by 2030, with the possibility of increasing this to a conditional reduction of up to 41 percent, subject to the availability of international support for finance, technology transfer, and capacity building.",None,"The figures in the existing answer (31.89% unconditional, 43.20% conditional) do not appear anywhere in NDC2_2022_Indonesia.pdf. The document explicitly states the unconditional target as 29% and the conditional target as up to 41% against the BAU scenario by 2030. The mechanism described (conditional on international support) is correctly characterized, but both numeric values in the existing answer are incorrect.","Indonesia commits to an unconditional reduction of 29% below its business-as-usual scenario by 2030 and states that the reduction could increase to up to 41% with international support, including finance, technology transfer and capacity building.",Revise,Replaced figures from a different Indonesian submission with the values in the assessed document.,"NDC2_2022_Indonesia, pp. 16, 20, 22",Adjudicated,Not obtained,v1.0
15,F015,FACTUAL,HARD,What are Indonesia's primary climate adaptation priorities identified in its NDC2?,What are Indonesia's primary climate adaptation priorities identified in its NDC2?,No,"Indonesia's NDC2 identifies the following primary adaptation priorities: food security and agriculture, water resources and watershed management, marine and coastal ecosystems, health, and cross-cutting issues including infrastructure resilience and climate resilient development pathways.","Indonesia's NDC2 frames its adaptation goal around reducing risk, enhancing adaptive capacity, strengthening resilience, and reducing vulnerability across all development sectors, organized into three core resilience areas: economic resilience, social and livelihood resilience, and ecosystem and landscape resilience. Within its National Medium-Term Development Plan (RPJMN 2020–2024), this is operationalized with a sectoral focus on water, agriculture, health, and coastal and marine ecosystems. ",Partial,"Sectors listed (water, health, agriculture, coastal/marine) overlap with the document, but the existing answer misses the primary framework: Indonesia's NDC2 organizes adaptation around three resilience pillars (economic, social/livelihood, ecosystem/landscape), not sectors. ""Infrastructure resilience"" and ""climate resilient development pathways"" are not stated as named priorities on this page.","Indonesia frames adaptation around three resilience areas: economic resilience; social and livelihood resilience; and ecosystem and landscape resilience. In implementation, it prioritises sectors including water, agriculture, health, and coastal and marine ecosystems, with the broader objectives of reducing risk and vulnerability and strengthening adaptive capacity and resilience.",Clarify,Reorganised the answer around the document's three resilience pillars and retained the supported sectoral priorities.,"NDC2_2022_Indonesia, adaptation section, pp. 24-33",Adjudicated,Not obtained,v1.0
19,F019,FACTUAL,HARD,What is South Africa's NDC2 emissions range target for the period 2025-2030?,What is South Africa's NDC2 emissions range target for the period 2025-2030?,No,South Africa commits to a greenhouse gas emission range of 350 to 420 MtCO2e per year for the period 2025 to 2030. This represents a peak-plateau-decline trajectory.,"South Africa's NDC2 sets two distinct single-year emissions targets rather than one continuous range: annual GHG emissions of 398–510 Mt CO2-eq for 2025 (covering implementation period 2021–2025), and 350–420 Mt CO2-eq for 2030 (covering implementation period 2026–2030), framed within a peak-plateau-decline trajectory carried forward from South Africa's first NDC. ",Partial,"The 350–420 MtCO2e figure and the peak-plateau-decline framing are both correct, but only for the 2030 target specifically. The existing answer mischaracterizes this single-year 2030 figure as covering the entire ""2025 to 2030"" period — the document actually specifies a separate, higher range (398–510 Mt CO2-eq) for 2025, with 350–420 Mt CO2-eq applying only to 2030.",South Africa specifies two separate single-year emissions ranges: 398-510 MtCO2e for 2025 and 350-420 MtCO2e for 2030. These targets sit within the country's peak-plateau-decline trajectory; the 350-420 range should not be described as applying continuously throughout 2025-2030.,Revise,Corrected the period characterization and distinguished the 2025 and 2030 ranges.,"NDC2_2021_South_Africa, pp. 4-5",Adjudicated,Not obtained,v1.0
22,F022,FACTUAL,EASY,What is Turkey's 2030 GHG reduction target relative to BAU?,What is Turkey's 2030 GHG reduction target relative to BAU?,No,Turkey commits to reducing greenhouse gas emissions by up to 41 percent compared to the business-as-usual scenario by 2030.,"Turkey commits to reducing economy-wide greenhouse gas emissions by 41 percent by 2030  equivalent to 695 Mt CO2 eq compared to the business-as-usual (BAU) scenario set out in its first NDC, with 2012 as the reference year. ",Partial,"The 41% figure and BAU comparison are correct, but the document states a fixed 41% target, not ""up to 41%"" there is no conditional or ceiling framing in the text. The existing answer also omits the base year (2012) and the absolute equivalent figure (695 Mt CO2 eq), both of which are explicitly stated in the document.",Türkiye commits to an economy-wide reduction of 41% below its business-as-usual projection by 2030. The target corresponds to emissions of about 695 MtCO2e in 2030 and uses 2012 as the reference year for the projection.,Clarify,"Removed 'up to', which is not used in the source, and added the stated reference year and absolute equivalent.","NDC2_2023_Turkey, pp. 1, 31-32",Adjudicated,Not obtained,v1.0
23,F023,FACTUAL,MEDIUM,What is Russia's 2030 GHG reduction target and the baseline used in its NDC2?,What is Russia's 2035 GHG target and the baseline used in its second NDC?,Yes,"Russia commits to limiting greenhouse gas emissions to 70 percent of 1990 levels by 2030, which is equivalent to a 30 percent reduction below 1990 levels, subject to maximum possible accounting of the absorptive capacity of forests.","Russia's current (second) NDC commits to reducing greenhouse gas emissions by up to 65–67 percent compared to 1990 levels but by 2035, not 2030 taking into account the maximum possible absorptive capacity of forests and other natural ecosystems, and subject to sustainable socio-economic development conditions. ",None,"The existing answer's figures belong to Russia's first NDC (2020), not its second NDC. The document explicitly states the second NDC supersedes the first with a different, later target: 65–67% of 1990 levels by 2035 (not 70% by 2030). The forest absorption caveat is correctly characterized, but both the percentage and the target year in the existing answer are incorrect for NDC2.","The question's 2030 premise reflects Russia's earlier NDC, not the assessed second NDC. Russia's second NDC states a 2035 target of reducing greenhouse-gas emissions by 65-67% relative to 1990, taking into account the maximum possible absorptive capacity of forests and other ecosystems and subject to sustainable socio-economic development conditions.",Reconstruct,Replaced the first-NDC 2030 target with the second-NDC 2035 target.,"NDC2_2022_Russia, pp. 3-4, 37",Adjudicated,Not obtained,v1.0
25,F025,FACTUAL,MEDIUM,"According to IPCC AR6 WG3, what renewable electricity share is required by 2050 for 1.5 degree pathways?",What does IPCC AR6 WG3 report about low-carbon electricity and electrification by 2050 in mitigation pathways?,Yes,IPCC AR6 WG3 Chapter 6 states that renewable electricity reaches 70 to 85 percent of global electricity supply by 2050 in pathways that limit warming to 1.5°C with no or limited overshoot.,"The documents do not contain the figure ""70–85 percent renewable electricity by 2050."" What WG3_Chapter06_EnergySystems_2022.pdf (Executive Summary) actually states is that low-carbon sources (not specifically ""renewables"" this includes nuclear and CCS-fossil) produce 93–97% of global electricity by 2050 in 2°C (>67%) pathways, and that electricity supplies 48–58% of final energy by 2050 in 1.5°C (>50%) no-or-limited-overshoot pathways, up from 20% in 2019.",None,"The ""70 to 85 percent"" figure does not appear anywhere in WG3_Chapter06_EnergySystems_2022.pdf, the WG3 SPM, or the WG3 Technical Summary. The chapter's actual headline figures are 93–97% low-carbon electricity share by 2050 (2°C pathway, not specifically ""renewable"") and 48–58% electricity-as-share-of-final-energy by 2050 (1.5°C pathway) — both materially different from the claimed figure and the claimed metric.","The assessed IPCC chapter does not state that renewables must supply 70-85% of global electricity by 2050. It reports that low-carbon sources, a broader category that includes renewables and other low-carbon technologies, provide about 93-97% of global electricity by 2050 in the referenced below-2°C pathways; it also reports that electricity supplies about 48-58% of final energy by 2050 in 1.5°C no- or limited-overshoot pathways. A single renewable-electricity share for 1.5°C pathways cannot be taken from this source.",Reconstruct,Removed a figure not present in the source and distinguished low-carbon electricity from renewable electricity.,"WG3_Chapter06_EnergySystems_2022, Executive Summary and pp. 6-8",Adjudicated,Not obtained,v1.0
27,F027,FACTUAL,HARD,"According to IPCC AR6 WG3, what share of global electricity supply did renewables reach by 2019 and what was the cost trend?","According to IPCC AR6 WG3, what share of global electricity supply did renewables reach by 2019 and what was the cost trend?",No,IPCC AR6 WG3 reports that renewables accounted for about 29 percent of global electricity supply in 2019. The cost of solar PV fell by approximately 85 percent and wind energy by approximately 55 percent between 2010 and 2019.,"The documents do not state ""29 percent"" for renewables' 2019 electricity share; WG3_Chapter06_EnergySystems_2022.pdf instead reports solar PV and wind together at 8%, hydroelectric at 16% (combined ~24% renewables), with total low- and zero-carbon electricity (including nuclear) at 37% of global generation in 2019. The cost figures are correct: WG3_SPM_2022.pdf (Page 15) confirms solar energy costs fell 85% and wind energy costs fell 55% between 2010 and 2019.",Partial,"The cost trend figures (85% solar, 55% wind, 2010–2019) are verified exactly. The ""29 percent"" renewable electricity share for 2019 does not appear in either document and should be corrected to the figures actually stated (8% solar+wind, 16% hydro, 37% total low-carbon).","IPCC AR6 WG3 reports that in 2019 solar and wind supplied about 8% of global electricity and hydropower about 16%, implying roughly 24% from these renewable sources; including nuclear, low- or zero-carbon sources supplied about 37%. Between 2010 and 2019, unit costs fell by about 85% for solar PV and 55% for wind power.",Revise,Replaced the unsupported 29% renewable-share figure with the component shares stated in the chapter while retaining the verified cost trends.,"WG3_Chapter06_EnergySystems_2022, Executive Summary",Adjudicated,Not obtained,v1.0
30,F030,FACTUAL,HARD,What international climate finance condition does India attach to its NDC2 commitments?,What international climate finance condition does India attach to its NDC2 commitments?,No,"India conditions its NDC2 targets on receiving adequate technology transfer, capacity building, and climate finance from developed countries. Specifically, the 50 percent non-fossil electricity capacity target and the 45 percent emissions intensity reduction are described as conditional on international support as per the provisions of the UNFCCC and Paris Agreement.","India explicitly conditions only its non-fossil electricity capacity target (50% by 2030) on receiving ""transfer of technology and low-cost international finance including from Green Climate Fund (GCF)."" The 45% emissions intensity reduction target carries no such conditional language in the document  it is stated unconditionally. ",Partial,"The conditionality on the 50% non-fossil capacity target (technology transfer, GCF finance) is correctly stated. However, the claim that the 45% emissions intensity target is ""described as conditional on international support"" is not supported — the document attaches no such condition to that target; it is presented as an unconditional commitment.","India explicitly states that its target of about 50% cumulative installed electric-power capacity from non-fossil sources by 2030 is to be achieved with technology transfer and low-cost international finance, including from the Green Climate Fund. The updated NDC does not attach the same explicit condition to every headline target, so the condition should not be generalized to the entire NDC.",Clarify,Narrowed the condition to the commitment to which it is explicitly attached.,"NDC2_2022_India, p. 3",Adjudicated,Not obtained,v1.0
32,C002,COMPARATIVE,HARD,"Compare the net zero target years and legislative bases of the UK, EU, Canada, and Japan.","Compare the net zero target years and legislative bases of the UK, EU, Canada, and Japan.",No,"UK: net zero by 2050, enshrined in Climate Change Act (amended 2019). EU: climate neutrality by 2050, enshrined in European Climate Law (2021). Canada: net zero by 2050, enshrined in Canadian Net-Zero Emissions Accountability Act (2021). Japan: carbon neutral by 2050, announced in 2020 and reflected in NDC2.","The UK's Climate Change Act 2008 was amended on 27 June 2019 to set a legally-binding net zero by 2050 target; the EU commits to climate neutrality by 2050 under its agreed objective, governed by Regulation (EU) 2018/1999 and the European Climate Law; Canada's net zero by 2050 commitment is codified in the Canadian Net-Zero Emissions Accountability Act, which received Royal Assent on 29 June 2021; and Japan's net-zero by 2050 goal was made a Basic Principle of law through the Act Partially Amending the Act on Promotion of Global Warming Countermeasures (Act No. 54 of 2021)  not merely announced.",Partial,"The UK, EU, and Canada entries are verified exactly. The Japan entry is incorrect: net-zero by 2050 is not just ""announced... and reflected in NDC2"" — it is legislatively codified as a Basic Principle under Act No. 54 of 2021, the same legislative-basis category as the other three countries.","All four jurisdictions state a 2050 net-zero or climate-neutrality objective. In the United Kingdom, the Climate Change Act 2008 was amended in 2019 to establish net zero by 2050. The EU objective is embedded in the European Climate Law and related governance framework. Canada's objective is codified in the Canadian Net-Zero Emissions Accountability Act. Japan's 2050 carbon-neutrality objective was incorporated as a basic principle through the 2021 amendment to the Act on Promotion of Global Warming Countermeasures.",Revise,Corrected Japan's target from an announcement-only characterization to a legislatively codified objective.,"NDC2_2022_UK, pp. 6-7; NDC2_2020_EU, pp. 2, 12; NDC2_2021_Canada, pp. 1-3; NDC2_2021_Japan, pp. 1-4",Adjudicated,Not obtained,v1.0
33,C003,COMPARATIVE,HARD,Compare India's and China's renewable energy commitments in their NDC2 submissions. Which country has a more specific and measurable target?,Compare India's and China's renewable energy commitments in their NDC2 submissions. Which country has a more specific and measurable target?,No,"India commits to 50 percent cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030. China commits to over 1,200 GW of wind and solar capacity by 2030 and 25 percent non-fossil fuels in primary energy. China's capacity target (1,200 GW) is more specific and measurable than India's percentage share target, which lacks a clear baseline. However, India's target is directly tied to electricity capacity share, while China's mixes capacity with primary energy metrics.","India commits to 50% cumulative installed electric power capacity from non-fossil sources by 2030 (NDC2_2022_India.pdf, p.3); China commits to over 1.2 billion kW (1,200 GW) of wind and solar capacity plus 25% non-fossil fuels in primary energy consumption by 2030 (NDC2_2021_China.pdf, p.8). China's absolute GW figure is more directly quantifiable as a single number, but neither document provides a baseline capacity figure for comparison, so the claim that only India's target ""lacks a clear baseline"" is not supported by either text.",Partial,"The two targets are stated correctly. The comparative conclusion (China's target being more specific/measurable) is a reasonable reading, but the supporting claim that India's target ""lacks a clear baseline"" while implying China's has one is incorrect — neither NDC2_2022_India.pdf nor NDC2_2021_China.pdf states a current baseline capacity figure for the respective targets.","India targets about 50% cumulative installed electric-power capacity from non-fossil sources by 2030. China targets more than 1,200 GW of wind and solar capacity and about 25% non-fossil energy in primary-energy consumption by 2030. China's absolute-capacity figure is the more directly measurable single quantity, although the targets use different metrics and neither NDC supplies a current baseline value that would allow a complete like-for-like progress comparison.",Clarify,Retained the comparison but removed the unsupported implication that only India lacks a baseline.,"NDC2_2022_India, p. 3; NDC2_2021_China, p. 8",Adjudicated,Not obtained,v1.0
34,C004,COMPARATIVE,HARD,"Why is it difficult to directly compare Japan's 2030 target with the USA's 2030 target, and how should researchers adjust for this?","Why is it difficult to directly compare Japan's 2030 target with the USA's 2030 target, and how should researchers adjust for this?",No,"Japan uses fiscal year 2013 as its baseline, while the USA uses calendar year 2005. These are different years with different emission levels, making a direct percentage comparison misleading. Japan's 46% below 2013 translates to approximately a 50% reduction below 2005 levels when adjusted using emission trajectories, making the targets roughly comparable. Researchers should convert all targets to a common reference year (e.g., 2019 or absolute MtCO2e) for valid cross-country comparisons.","The documents confirm only the baseline mismatch itself: Japan's target (46% reduction by fiscal year 2030) is set against a fiscal year 2013 baseline, while the USA's target (50–52% reduction by 2030) is set against a 2005 baseline different reference years with different national emission levels, making a direct percentage comparison without adjustment unreliable. Neither NDC2_2021_Japan.pdf nor NDC2_2021_USA.pdf contains any stated conversion factor, ""2005-equivalent"" recalculation, or recommended common-reference-year methodology.",Partial,"The core observation  different baseline years (2013 vs. 2005) make direct comparison misleading is correct and verifiable. However, the specific claim that ""46% below 2013 translates to approximately 50% below 2005"" and the recommendation to use ""2019 or absolute MtCO2e"" as a common reference do not appear in either document these are external analytical additions, not findings from the source texts, and should not be presented as document-grounded.","Japan's 2030 target is a 46% reduction from fiscal-year 2013 emissions, whereas the United States targets a 50-52% reduction from 2005 emissions. The percentages therefore cannot be compared directly. Researchers should convert both to absolute emissions using compatible inventory data and then express them against a common base year, or classify the comparison as not directly comparable if the required data and methodological assumptions are unavailable.",Clarify,"Kept the baseline-mismatch finding, removed an unsupported conversion, and specified a transparent harmonisation method.","NDC2_2021_Japan, pp. 1-2; NDC2_2021_USA, pp. 2-3",Adjudicated,Not obtained,v1.0
35,C005,COMPARATIVE,HARD,"Compare the use of conditional targets in Indonesia's, Mexico's, and India's NDC2 submissions.","Compare the use of conditional targets in Indonesia's, Mexico's, and India's NDC2 submissions.",No,"All three countries use conditional and unconditional target structures. Indonesia: 31.89% unconditional, 43.20% conditional. Mexico: 35% unconditional, 40% conditional. India: all major targets are conditional on international support, including the 50% non-fossil capacity target. Indonesia has the largest gap between conditional and unconditional targets (11.3 percentage points), indicating greatest dependence on international finance.","Mexico (35% unconditional / 40% conditional) is correct. Indonesia's actual figures are 29% unconditional / up to 41% conditional — not 31.89%/43.20% — so the real gap is 12 points, not 11.3. India conditions only its 50% non-fossil capacity target, not ""all major targets.""",Partial,Mexico correct; Indonesia's figures and resulting gap calculation are wrong; India's conditionality is overstated.,"Indonesia states a 29% unconditional reduction below BAU by 2030 and up to 41% with international support, a 12-percentage-point difference. Mexico states a 35% target, comprising at least 30 percentage points from domestic resources and 5 from international cooperation or finance, with ambition rising to 40% under additional support. India does not present a full economy-wide conditional/unconditional split; it explicitly attaches international finance and technology-transfer conditions to its 50% non-fossil installed-capacity commitment and discusses broader implementation support needs.",Revise,Corrected Indonesia's figures and avoided treating all Indian targets as formally conditional.,"NDC2_2022_Indonesia, pp. 16, 20, 22; NDC2_2022_Mexico, pp. 9, 17-18; NDC2_2022_India, p. 3",Adjudicated,Not obtained,v1.0
36,C006,COMPARATIVE,HARD,Compare the 2030 ambition level of Australia's NDC2 against the UK's NDC2 using the same baseline year.,Compare the 2030 ambition level of Australia's NDC2 against the UK's NDC2 using the same baseline year.,No,"Australia targets 43% below 2005 levels by 2030. The UK targets at least 68% below 1990 levels by 2030. When UK's target is rebaselined to 2005, it is approximately 50-53% below 2005 levels, slightly above Australia's 43%. The UK is generally rated more ambitious by Climate Action Tracker. Both countries target net zero by 2050.","Australia targets 43% below 2005 by 2030 (NDC2_2022_Australia.pdf, p.3); UK targets at least 68% below 1990 by 2030 (NDC2_2022_UK.pdf, p.5). Neither document contains a 2005-rebaselining calculation or any Climate Action Tracker reference direct comparison requires external calculation not found in either NDC.",Partial,"The two headline figures and both 2050 net zero commitments are correct, but the ""50-53% rebaselined"" figure and CAT rating appear in neither document; they are external additions, not document-grounded findings.","Australia targets a 43% reduction below 2005 levels by 2030, whereas the United Kingdom targets at least 68% below 1990 levels. A same-baseline comparison cannot be produced from the two NDCs alone because neither document provides the conversion needed to restate both targets against one common year. Any ranking would require compatible historical inventory data and explicit treatment of land-use accounting; otherwise the comparison should remain not directly comparable.",Clarify,Removed an unsupported rebaselined percentage and external rating.,"NDC2_2022_Australia, pp. 2-3; NDC2_2022_UK, p. 5",Adjudicated,Not obtained,v1.0
37,C007,COMPARATIVE,HARD,How do Brazil's and Indonesia's NDC2 submissions differ in their approach to forest-related climate commitments?,How do Brazil's and Indonesia's NDC2 submissions differ in their approach to forest-related climate commitments?,No,"Brazil's NDC2 commits to ending illegal deforestation by 2030 and restoring 12 million hectares of forests, treating forests primarily as a mitigation tool via LULUCF accounting. Indonesia's NDC2 includes a forestry and peatland sector with specific emission reduction targets and emphasises sustainable forest management as both mitigation and adaptation. Indonesia is more explicit about adaptation co-benefits, while Brazil focuses more on absolute deforestation cessation.","Brazil commits to zero deforestation by 2030 under the PPCDAm Action Plan not ""illegal deforestation,"" and no ""12 million hectares"" figure appears anywhere in the document (NDC2_2022_Brazil.pdf, p.9). Indonesia treats forestry through an explicit FOLU (Forestry and Other Land Use) sector with quantified peatland restoration targets and rewetting/revegetation assumptions (NDC2_2022_Indonesia.pdf, p.36), reflecting a more sector-granular approach than Brazil's single deforestation target.",Partial,"Indonesia's FOLU/peatland-sector framing is accurate, but Brazil's commitment is ""zero deforestation,"" not ""illegal deforestation,"" and ""12 million hectares"" is not stated in NDC2_2022_Brazil.pdf.","Brazil commits to zero deforestation by 2030 under its forest action framework and refers to restoration of degraded lands. Indonesia treats forests through an explicit Forestry and Other Land Use sector, including quantified peatland-restoration, rewetting and revegetation assumptions. Indonesia's approach is more sector-granular and quantified, while Brazil's NDC foregrounds the zero-deforestation objective; the assessed Brazilian document does not state a 12-million-hectare restoration figure.",Revise,Corrected 'illegal deforestation' to 'zero deforestation' and removed an unsupported restoration-area figure.,"NDC2_2022_Brazil, pp. 6-9; NDC2_2022_Indonesia, pp. 35-38",Adjudicated,Not obtained,v1.0
38,C008,COMPARATIVE,HARD,Which G20 countries in the corpus explicitly mention carbon pricing mechanisms in their NDC2 submissions?,Which G20 countries in the corpus explicitly mention carbon pricing mechanisms in their NDC2 submissions?,No,South Korea explicitly mentions its Emissions Trading Scheme (K-ETS) as a central mechanism for achieving its 40% reduction target. The EU references the EU ETS as a core policy instrument. Canada references its carbon pricing system. Japan mentions its Green Innovation Fund and transition finance mechanisms but is less explicit about carbon pricing. China references its national ETS launched in 2021.,"South Korea, the EU, Canada, and China all explicitly mention carbon pricing mechanisms: South Korea details its K-ETS covering 73.5% of national emissions (NDC2_2021_South_Korea.pdf, p.6); the EU references its EU ETS, operational since 2005 (NDC2_2020_EU.pdf, p.3); Canada describes its federal-provincial carbon pricing system including cap-and-trade and carbon tax variants (NDC2_2021_Canada.pdf, p.5); and China describes building its national ETS ""by stages"" from prior pilot programs, though no specific 2021 launch date appears in the text (NDC2_2021_China.pdf, p.14). Japan's NDC2 contains zero mentions of carbon pricing, carbon tax, or emissions trading.",Partial,"All five countries' inclusion/exclusion is correct, but China's ""launched in 2021"" detail is not stated in the document (it describes phased construction, not a specific launch year), and Japan's ""Green Innovation Fund"" claim does not appear anywhere in NDC2_2021_Japan.pdf.","Explicit carbon-pricing or emissions-trading mechanisms are described in the NDCs of the European Union (EU ETS), Canada (federal and provincial carbon-pricing systems), China (the national carbon market/ETS), South Korea (K-ETS), Mexico (its emissions-trading system and carbon-price instruments), Türkiye (planned emissions-trading and allowance-allocation framework), and Russia (carbon-market and regional carbon-pricing initiatives). Japan's assessed NDC does not explicitly describe a carbon-pricing mechanism. The list refers only to mechanisms stated in the corpus and does not imply equivalent coverage or stringency.",Revise,Expanded the list after an exhaustive corpus search and removed unsupported Japan wording.,"NDC2_2020_EU, pp. 8-9; NDC2_2021_Canada, pp. 2-5, 28; NDC2_2021_China, p. 14; NDC2_2021_South_Korea, p. 10; NDC2_2022_Mexico, relevant mitigation-policy sections; NDC2_2023_Turkey, mitigation-policy section; NDC2_2022_Russia, carbon-market sections",Adjudicated,Not obtained,v1.0
