Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-032,China,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,2035 NDC (Nov 2025) — 'climate adaptive society' language; National Climate Change Adaptation Strategy 2035 (2022),"The NDC states China will 'basically establish a climate adaptive society' by 2035, building on the 2022 National Climate Change Adaptation Strategy, with measures on monitoring/early warning, ecosystem and economic resilience, and urban resilience. Per Sino-German Cooperation on Climate Change (secondary), 'notably, no quantifiable targets are defined' for these adaptation measures — no domestic adaptation finance figure was found in the NDC or Strategy text.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Absent,Medium,"Unlike most other dimensions in China's 2035 NDC (which do carry real numbers), adaptation is explicitly qualitative only — multiple secondary sources converge on the same finding that no quantifiable domestic adaptation targets or finance figures exist, which matches the rubric's definition of 'Absent' for this dimension even though a named strategy exists.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-033,China,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","China South-South Climate Cooperation Fund (announced 2015, RMB 20bn/$3.1bn pledge); Xie Zhenhua COP27 statement (2022); WRI China climate finance study (2013–2022)","China has formally declined to pay into the UNFCCC Loss and Damage Fund, with climate envoy Xie Zhenhua stating at COP27 that China 'is not obliged to contribute' as a developing country. However, China does provide L&D-adjacent bilateral support — e.g., 'the $90 million USD that China has provided to flood-hit Pakistan in 2022' — and a broader South-South Climate Cooperation Fund pledge (RMB 20bn/$3.1bn, 2015), though delivery has lagged: 'China has so far delivered 10% of its promised... Fund, or 2 billion yuan' as of COP27 (secondary, Dialogue Earth). A separate WRI analysis found China provided/mobilized $45 billion (2013–2022, ~$4.5bn/yr) in broader climate finance to developing countries, not L&D-specific.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",0.7,Significant,Significant,Medium,"Real, named, quantified bilateral L&D-adjacent aid exists (Pakistan flood response) alongside a large but significantly underdelivered multilateral pledge (~10% of $3.1bn delivered after 7 years) — genuine evidence, but well short of 'Aligned' given the delivery gap and China's explicit refusal to formally contribute to the UNFCCC L&D Fund itself.",Partly,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-034,China,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2025), transport sectoral targets","NDC commits to making 'new energy vehicles the mainstream in new vehicle sales' by 2035 (no numeric share given), shifting bulk cargo/container freight to waterways and rail, developing multimodal transport systems, and promoting cleaner energy in shipping and aviation. Asia Society (secondary) notes the NEV-mainstream goal is one of the targets that has 'largely already been achieved,' suggesting low incremental ambition. No absolute transport-emissions or numeric electrification-share target is set.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,1,Absent,Not Comparable,Medium,"The system's default score (1.00 → 'Absent') doesn't match the evidence — real, if qualitative, transport commitments exist in the NDC (freight modal shift, NEV mainstreaming, shipping/aviation). But with no numeric target and 'largely already achieved' status per independent commentary, it cannot be meaningfully benchmarked against AR6's quantified 59%-by-2050 absolute-emissions metric.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-035,China,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets",2035 NDC (Nov 2025) — forest stock volume and land targets,"NDC commits to forest stock volume exceeding 24 billion cubic meters by 2035 (already at ~21 billion m3 per 2025 progress, European Parliament briefing, secondary), forest coverage above 26%, soil/water conservation to 75%, and protection of at least 3.15 million km² under ecological redlines. Critically, the headline 7–10%-below-peak emissions target is a *net* figure: Climate Action Tracker (secondary) states the target 'applies to net emissions, including the LULUCF sector, which is a net carbon sink in China, as well as other forms of carbon removal, making the target less transparent.'",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Significant,High,"China's forest-sink targets are quantified and have a track record of being met or exceeded (a stronger evidentiary position than Australia, Brazil, or Canada's LULUCF entries), but CAT's core objection — that blending a genuine forest sink into the headline 'net' emissions target obscures how much of the 7–10% reduction is gross cuts vs. sink accounting — is a real transparency concern that keeps this below 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-036,EU,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"Renewable Energy Directive III (Directive (EU) 2023/2413, in force since 2023); 2035 NDC (submitted UNFCCC Nov 2025)","RED III sets a legally binding EU-wide target of at least 42.5% renewable energy share of gross final energy consumption by 2030 (aspiring to 45%), with sub-targets for transport, industry, heating/cooling and buildings, and a binding annual 1.6% increase in industrial renewable use. The 2035 NDC does not set an updated headline renewable-share figure of its own, relying on RED III's binding 2030 target as the operative benchmark.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.6,Significant,Significant,High,"This is one of the most detailed, legally binding renewable frameworks reviewed (sector sub-targets, binding annual increases), but the metric (share of *total* energy, not electricity) differs from AR6's electricity-specific benchmark, and even the aspirational 45% figure leaves substantial headroom before matching AR6's 2050 electricity-decarbonisation trajectory.",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-037,EU,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","2035 NDC (submitted UNFCCC Nov 2025); European Climate Law amendment (2040 target, Council position Nov 5, 2025)","NDC sets an indicative 2035 range of 66.25–72.5% below 1990 (derived from linear trajectories between the 2030 target of 55% and the 2050 net-zero goal), alongside a newly agreed 2040 target of 90% below 1990 (with up to 5 percentage points from international carbon credits from 2036, making the effective domestic target 85%). Climate neutrality by 2050 remains the anchor goal (European Climate Law).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.75,Significant,Significant,High,"Legally anchored, economy-wide pathway architecture is more developed than most peers, but Climate Action Tracker (secondary) rates it 'not 1.5°C compatible,' stating the EU would need at least 77% by 2035 and 90–95% domestic (excl. LULUCF) by 2040 — and criticises the 'linear trajectory' methodology itself as insufficiently front-loaded compared to a genuine 1.5°C pathway.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-038,EU,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"EU Methane Regulation (Regulation (EU) 2024/1787, final approval May 2024); EU Methane Strategy (2020); Global Methane Pledge (co-launched with US, COP26 2021)","The EU adopted the first legally binding regulation specifically targeting methane emissions in the energy sector (oil, gas, coal), covering monitoring, reporting, verification, and leak detection/repair requirements. The EU also co-launched the Global Methane Pledge (30% cut vs 2020 by 2030, non-binding, collective). However, the binding regulation's scope is limited to the energy sector; no economy-wide quantified methane reduction target (covering agriculture and waste as well) was found in the NDC.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.65,Significant,Significant,High,"Unlike most peers' voluntary pledges, the EU has actual binding law (not just a strategy or pledge) covering its largest methane source (energy sector). This is a stronger legal instrument than found elsewhere, but the absence of an economy-wide quantified target (agriculture is a major EU methane source not covered by this regulation) keeps it short of 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-039,EU,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,EU Adaptation Strategy (2021); European Commission international climate finance page; 2035 NDC (Nov 2025),"The EU Adaptation Strategy quantifies the cost of inaction — current EU economic losses from climate-related extreme weather already exceed €12 billion/year, projected to reach at least €170 billion/year at 3°C warming — but primary implementation responsibility for adaptation stays with Member States, with the EU providing only 'enhanced proactive measures... to support them.' The EU and Member States together provided €28.5 billion in public climate finance plus €11.9 billion in mobilised private finance in 2022 (combined mitigation and adaptation, not adaptation-specific). Climate Action Tracker (secondary) notes the EU's 2035 NDC 'has not specified the amount of its planned international climate finance contributions.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Significant,Medium,"Risk quantification (cost-of-inaction figures) is unusually rigorous, and overall climate finance volumes are large, but there is no adaptation-specific EU-level finance target, and CAT explicitly flags that the 2035 NDC itself omits a specified international finance contribution amount — a real, independently confirmed gap.",Partly,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-040,EU,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","COP28 outcomes (Dec 2023, European Commission/Consilium); Fund for Responding to Loss and Damage (established 2022)","The EU and its Member States led the initial capitalisation of the international Loss and Damage Fund, contributing more than €400 million — 'over two-thirds of the initial funding pledges' (European Commission, primary) — making the EU bloc the largest single contributor globally to the fund at its launch.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Significant,High,"This is the strongest, most concrete Loss and Damage evidence found among all countries reviewed so far — a specific, quantified, named contribution making up the clear majority of the fund's initial capitalisation. Held short of 'Aligned' only because €400 million remains modest relative to global L&D needs (estimated in the hundreds of billions annually).",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-041,EU,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"EU CO2 emission performance standards for cars and vans (Regulation, revised April 2023 under Fit for 55); proposed Dec 2025 Commission amendment","Legally binding fleet-wide targets require new cars and vans to cut CO2 emissions 55%/50% respectively by 2030 (vs 2021), reaching 100% (zero-emission) from 2035 — effectively banning sales of new CO2-emitting cars and vans EU-wide. However, a December 2025 Commission proposal would weaken this, 'allow[ing] a range of vehicle technologies to remain in play, including hybrids, plug-in hybrids, and range extenders... in addition to full EVs and hydrogen vehicles' (ESG Today, secondary), rolling back the 100% zero-emission requirement currently under review by Parliament and Council.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Significant,High,"This is the most stringent, legally binding new-vehicle target reviewed among all countries so far (100% zero-emission new sales by 2035, not just a share/mandate), which is directionally very strong even though its metric (new-vehicle sales) differs from AR6's absolute-transport-emissions benchmark. Critically, this target is actively being weakened as of December 2025 — a live rollback risk that should be watched in any update.",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-042,EU,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets",2035 NDC (Nov 2025); EU LULUCF Regulation (2030 sink target),"The EU maintains a separate, quantified LULUCF target of a 310 MtCO2 net sink by 2030, of which only 225 MtCO2 can be counted toward the overall 55% 2030 target (a partial-crediting cap, more rigorous than fully counting all sink gains). However, Climate Action Tracker (secondary) states the EU 'has not provided any LULUCF targets for 2035, nor 2040' — the exact horizon years covered by the current NDC and 2040 target.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Significant,High,"The 2030 accounting design (a hard cap on how much of the sink can count toward the target) is more rigorous than most peers' 'net' approaches, but the complete absence of any LULUCF target for 2035 or 2040 — right when the EU's headline 66.25–72.5% and 90% targets apply — is a real, independently flagged transparency gap that prevents a fuller alignment rating.",Partly,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-043,India,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"India's NDC (2031-2035), submitted UNFCCC April 24, 2026, Union Cabinet approval March 25, 2026","NDC commits to 60% of installed electric power capacity from non-fossil sources by 2035 (up from a 50% target for 2030, which India already reached five years early — 52.57% as of Feb 2026). India also met its first NDC's 40% target nine years ahead of schedule. However, per Climate Action Tracker (secondary), 'non-fossil fuel sources now account for more than 50% of India's installed power capacity, [but] they contribute to less than 30% of actual electricity generated' — coal still supplies 70–75% of actual generation due to intermittency and grid/storage constraints.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.7,Significant,Significant,High,"India has the strongest track record of any country reviewed for hitting (and beating) its own renewable capacity targets early, but the capacity-vs-generation gap is a genuine structural caveat — installed non-fossil capacity is not yet translating into a comparable share of actual electricity generated, and CAT separately rates the prior 50%-by-2030 target 'Highly insufficient' against a 1.5°C-modelled pathway.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
