Question Number,Question ID,Category,Question,Reviewer Answer,Agreement Label,Reviewer Notes,Reviewer ID,Adjudication Status
47,C017,COMPARATIVE,How do the USA's and EU's NDC2 submissions address methane reduction compared to the IPCC-recommended 34 percent reduction by 2030?,"Neither NDC2 sets a methane-specific target—both fold methane into an economy-wide, all-gas cut (US: 50–52% below 2005; EU: ≥55% below 1990, by 2030), addressing it only qualitatively (US: leak plugging, manure/nutrient management; EU: waste rules, falling fugitive emissions). With methane not disaggregated and the 34% IPCC figure unreferenced, neither can be measured against it without modelling the implied methane trajectory from external data.",Partial,"right on the targets and the missing 34%-aligned figure, but it imports two facts not in the documents.",Reviewer 1,Not formally adjudicated
29,F029,FACTUAL,Does Indonesia's NDC2 explicitly address loss and damage from climate change?,"No. While the document briefly mentions loss and damage once in Section 1.2 — noting that successful mitigation will help Indonesia better deal with it — there is no dedicated section, specific targets, funding allocation, or policy framework addressing loss and damage as a standalone issue in Indonesia's NDC2.",Full,,Reviewer 1,Not formally adjudicated
16,F016,FACTUAL,What is South Korea's 2030 NDC target expressed as a percentage reduction from BAU?,"South Korea's NDC2 target is a 40% reduction from 2018 GHG levels (727.6 MtCO2eq) by 2030 — an absolute base-year target. The document states Korea replaced its earlier BAU-based target with an economy-wide absolute target, so the target cannot be expressed as a reduction from BAU; the question's premise does not match the document.",Partial,More details needed in your answer,Reviewer 1,Not formally adjudicated
9,F009,FACTUAL,What net zero target has the UK set and what legislation underpins it?,"Target: Net zero greenhouse gas emissions by 2050, on a whole-economy basis.  Legislation: The Climate Change Act 2008 — amended on 27 June 2019 — makes this a legally binding commitment.",Full,,Reviewer 1,Not formally adjudicated
72,G017,GAP DETECTION,What is the gap in G20 NDC2 submissions regarding nature-based solutions and biodiversity protection compared to IPCC recommendations?,"The IPCC WG3 SPM (Section D.1.4) explicitly recommends reforestation, forest conservation, and restoration of natural ecosystems and biodiversity as high-synergy mitigation options. However, most G20 NDC2s fall short — only UK and Canada make explicit NbS commitments; Brazil, Indonesia, and Argentina mention forests/ecosystems but without quantified targets; while USA, India, South Korea, Mexico, and Saudi Arabia include no NbS or biodiversity protection commitments at all. WG3 Chapter 13 itself confirms the gap, noting only that ""some NDCs include EbA and NbS.""",Partial,"The directional finding (G20 NDC2s lack quantified NbS targets vs. IPCC recommendations) is supported by the documents, but the specific ""10–12 GtCO₂e/year"" figure and ""WG3 Chapter 7"" reference cannot be verified as that chapter is absent from the zip.",Reviewer 1,Not formally adjudicated
40,C010,COMPARATIVE,How does the UK's NDC2 assess its per-capita emissions relative to global 1.5 degree pathway benchmarks?,"The UK assesses its NDC2 as aligned with IPCC 1.5°C pathways on both per-capita and economy-wide measures. Projected 2030 emissions of under 4 tCO2e per person fall within the 3.5–4 tCO2e range implied by median 1.5°C scenarios. Its ~42% cut on 2019 levels marginally exceeds AR6's ~41% benchmark, and its ~57% cut on 2010 levels clears SR1.5's ~45% mark. The NDC is also on a trajectory to net zero by 2050, consistent with a least-cost path to staying below 1.5°C.",Full,,Reviewer 1,Not formally adjudicated
31,C001,COMPARATIVE,Compare the 2030 GHG reduction targets of the United States and the European Union. Which is more ambitious and why?,"The US (NDC2_2021_USA) targets 50–52% below 2005 levels by 2030 (base emissions: 6,635 Mt CO₂e), while the EU (NDC2_2020_EU) targets at least 55% below 1990 levels by 2030 through domestic measures only. However, the EU document notes emissions had already fallen ~26% below 1990 by 2019, with peaks as far back as 1979, meaning much of the reduction reflects prior structural change. The US document notes it was already at 17% below 2005 by 2020, cutting from a higher, more recent baseline. On headline numbers the EU leads, but the real-world ambition gap is smaller than it appears.",Partial,The existing answer is partially correct but includes claims outside the documents. My answer stays fully within the documents while providing stronger context.,Reviewer 1,Not formally adjudicated
65,G010,GAP DETECTION,What is the gap in G20 NDC2 submissions regarding loss and damage compared to IPCC AR6 WG2 findings on irreversible climate impacts?,"WG2_SPM_2022.pdf (p.13) — actions limiting warming to 1.5°C ""cannot eliminate them all"" (very high confidence).  WG2_Chapter17 (p.25) — L&D assessments in NDCs ""have remained scarce"" (high confidence).  WG2_Chapter18 (p.72) — explicitly flags ""little consideration of the implications of NDCs for poverty and livelihoods"" and ""limits to adaptation"" as key barriers.  Against this, 15 of 17 G20 NDC2s contain zero mention of loss and damage. NDC2_2021_South_Africa.pdf and NDC2_2022_Indonesia.pdf make passing references only — no targets, no finance, no governance.",Partial,"Correct that no G20 NDC2 has quantified L&D finance commitments, but wrong that India mentions impacts (NDC2_2022_India.pdf has zero mentions). The gap is also deeper than finance alone — WG2_Chapter17 (p.25) explicitly states L&D assessments in NDCs ""have remained scarce,"" and WG2_SPM_2022.pdf (p.13) confirms losses cannot be eliminated even at 1.5°C.",Reviewer 1,Not formally adjudicated
1,F001,FACTUAL,What is India's target for cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030?,"India's target: 50 percent cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030.
",Full,,Reviewer 1,Not formally adjudicated
2,F002,FACTUAL,"By how much does India commit to reducing the emissions intensity of its GDP by 2030, compared to 2005 levels?","India commits to reducing the emissions intensity of its GDP by 45 percent by 2030, compared to 2005 levels.",Full,,Reviewer 1,Not formally adjudicated
3,F003,FACTUAL,What is India's target for additional carbon sink creation through forest and tree cover by 2030?,India targets creating an additional carbon sink of 2.5 to 3 billion tonnes of CO₂ equivalent through additional forest and tree cover by 2030.,Full,,Reviewer 1,Not formally adjudicated
4,F004,FACTUAL,When does China commit to achieving peak CO2 emissions under its NDC2?,"China commits to having CO₂ emissions peak before 2030, and to achieving carbon neutrality before 2060.",Full,,Reviewer 1,Not formally adjudicated
5,F005,FACTUAL,What is China's 2030 target for installed capacity of wind and solar power?,"China targets bringing its total installed capacity of wind and solar power to over 1.2 billion kilowatts (i.e., 1,200 GW) by 2030.",Full,,Reviewer 1,Not formally adjudicated
6,F006,FACTUAL,What share of non-fossil fuels in primary energy consumption does China target by 2030?,"China commits to increasing the share of non-fossil fuels in its primary energy consumption to around 25 percent by 2030, raising its ambition from the earlier 2015 NDC1 target of around 20 percent",Full,,Reviewer 1,Not formally adjudicated
7,F007,FACTUAL,What is the United States' 2030 economy-wide greenhouse gas emissions reduction target under its NDC2?,The United States commits to an economy-wide target of reducing its net greenhouse gas emissions by 50 to 52 percent below 2005 levels by 2030. ,Full,,Reviewer 1,Not formally adjudicated
8,F008,FACTUAL,What is the United Kingdom's 2030 greenhouse gas reduction target and the baseline year used?,"The United Kingdom commits to reducing economy-wide greenhouse gas emissions by at least 68 percent by 2030, compared to 1990 levels, as communicated in its NDC in December 2020.",Partial,"The 68% target and 1990 baseline are both correct. However, the claim that this is ""the UK's first NDC submitted after leaving the European Union"" is not supported anywhere in the document — that framing/context does not appear in NDC2_2022_UK.pdf and should be dropped or independently verified outside this source.",Reviewer 1,Not formally adjudicated
11,F011,FACTUAL,What is Japan's 2030 greenhouse gas reduction target and what baseline year does it use?,"Japan commits to reducing its greenhouse gas emissions by 46 percent in fiscal year 2030 from its fiscal year 2013 levels equivalent to cutting emissions to 760 million t-CO2 from a 2013 base of 1,408 million t-CO2 while continuing efforts toward a further, more ambitious goal of a 50 percent reduction from the same fiscal year 2013 baseline. ",Full,,Reviewer 1,Not formally adjudicated
12,F012,FACTUAL,What is Australia's 2030 emissions reduction target and net zero commitment year?,Australia commits to reducing greenhouse gas emissions by 43 percent below 2005 levels by 2030 — half as much again as its previous target of 26–28 percent — and reaffirms a target to achieve net zero emissions by 2050. ,Full,,Reviewer 1,Not formally adjudicated
13,F013,FACTUAL,What is Brazil's 2030 absolute emissions reduction target and baseline year?,"Brazil commits to an absolute net greenhouse gas emission target in 2030 of 1.20 GtCO2e, consistent with a reduction of 53.1 percent compared to 2005 levels using 2005 as its reference year and further reiterates its long-term objective to achieve climate neutrality by 2050. ",Partial,"The baseline year (2005) and the 2050 climate neutrality commitment are correct. However, the reduction figure is wrong: the document states 53.1 percent, not 50 percent, for the 2030 target (corresponding to an absolute target of 1.20 GtCO2e). The ""2023 NDC adjustment"" framing is also not the title of the document used the file is NDC2_2022_Brazil.pdf.",Reviewer 1,Not formally adjudicated
14,F014,FACTUAL,What are Indonesia's unconditional and conditional GHG reduction targets by 2030?,"Indonesia commits to an unconditional reduction of 29 percent against the business-as-usual (BAU) scenario by 2030, with the possibility of increasing this to a conditional reduction of up to 41 percent, subject to the availability of international support for finance, technology transfer, and capacity building.",None,"The figures in the existing answer (31.89% unconditional, 43.20% conditional) do not appear anywhere in NDC2_2022_Indonesia.pdf. The document explicitly states the unconditional target as 29% and the conditional target as up to 41% against the BAU scenario by 2030. The mechanism described (conditional on international support) is correctly characterized, but both numeric values in the existing answer are incorrect.",Reviewer 1,Not formally adjudicated
15,F015,FACTUAL,What are Indonesia's primary climate adaptation priorities identified in its NDC2?,"Indonesia's NDC2 frames its adaptation goal around reducing risk, enhancing adaptive capacity, strengthening resilience, and reducing vulnerability across all development sectors, organized into three core resilience areas: economic resilience, social and livelihood resilience, and ecosystem and landscape resilience. Within its National Medium-Term Development Plan (RPJMN 2020–2024), this is operationalized with a sectoral focus on water, agriculture, health, and coastal and marine ecosystems. ",Partial,"Sectors listed (water, health, agriculture, coastal/marine) overlap with the document, but the existing answer misses the primary framework: Indonesia's NDC2 organizes adaptation around three resilience pillars (economic, social/livelihood, ecosystem/landscape), not sectors. ""Infrastructure resilience"" and ""climate resilient development pathways"" are not stated as named priorities on this page.",Reviewer 1,Not formally adjudicated
17,F017,FACTUAL,What is Canada's 2030 emissions reduction commitment range and its baseline?,"Canada commits to reducing greenhouse gas emissions by 40 to 45 percent below 2005 levels by 2030, and is additionally committed to reaching net-zero GHG emissions by 2050 — a commitment codified into law through the Canadian Net-Zero Emissions Accountability Act, which received Royal Assent on June 29, 2021. ",Full,,Reviewer 1,Not formally adjudicated
19,F019,FACTUAL,What is South Africa's NDC2 emissions range target for the period 2025-2030?,"South Africa's NDC2 sets two distinct single-year emissions targets rather than one continuous range: annual GHG emissions of 398–510 Mt CO2-eq for 2025 (covering implementation period 2021–2025), and 350–420 Mt CO2-eq for 2030 (covering implementation period 2026–2030), framed within a peak-plateau-decline trajectory carried forward from South Africa's first NDC. ",Partial,"The 350–420 MtCO2e figure and the peak-plateau-decline framing are both correct, but only for the 2030 target specifically. The existing answer mischaracterizes this single-year 2030 figure as covering the entire ""2025 to 2030"" period — the document actually specifies a separate, higher range (398–510 Mt CO2-eq) for 2025, with 350–420 Mt CO2-eq applying only to 2030.",Reviewer 1,Not formally adjudicated
20,F020,FACTUAL,What is Saudi Arabia's NDC2 absolute emissions reduction target by 2030?,"Saudi Arabia commits to reducing, avoiding, and removing greenhouse gas emissions by 278 million tons of CO2 equivalent annually by 2030 using 2019 as the base year representing more than a two-fold increase from its previous ambition of 130 million tons of CO2 equivalent under its earlier INDC, achieved through measures including its Circular Carbon Economy approach. ",Full,,Reviewer 1,Not formally adjudicated
21,F021,FACTUAL,What is Argentina's 2030 absolute emissions cap under its NDC2?,"Argentina commits to an absolute and unconditional goal, applicable to all sectors of the economy, to not exceed net emissions of 349 million tons of CO2 equivalent (MtCO2e) by 2030.",Full,,Reviewer 1,Not formally adjudicated
22,F022,FACTUAL,What is Turkey's 2030 GHG reduction target relative to BAU?,"Turkey commits to reducing economy-wide greenhouse gas emissions by 41 percent by 2030  equivalent to 695 Mt CO2 eq compared to the business-as-usual (BAU) scenario set out in its first NDC, with 2012 as the reference year. ",Partial,"The 41% figure and BAU comparison are correct, but the document states a fixed 41% target, not ""up to 41%"" there is no conditional or ceiling framing in the text. The existing answer also omits the base year (2012) and the absolute equivalent figure (695 Mt CO2 eq), both of which are explicitly stated in the document.",Reviewer 1,Not formally adjudicated
23,F023,FACTUAL,What is Russia's 2030 GHG reduction target and the baseline used in its NDC2?,"Russia's current (second) NDC commits to reducing greenhouse gas emissions by up to 65–67 percent compared to 1990 levels but by 2035, not 2030 taking into account the maximum possible absorptive capacity of forests and other natural ecosystems, and subject to sustainable socio-economic development conditions. ",None,"The existing answer's figures belong to Russia's first NDC (2020), not its second NDC. The document explicitly states the second NDC supersedes the first with a different, later target: 65–67% of 1990 levels by 2035 (not 70% by 2030). The forest absorption caveat is correctly characterized, but both the percentage and the target year in the existing answer are incorrect for NDC2.",Reviewer 1,Not formally adjudicated
25,F025,FACTUAL,"According to IPCC AR6 WG3, what renewable electricity share is required by 2050 for 1.5 degree pathways?","The documents do not contain the figure ""70–85 percent renewable electricity by 2050."" What WG3_Chapter06_EnergySystems_2022.pdf (Executive Summary) actually states is that low-carbon sources (not specifically ""renewables"" this includes nuclear and CCS-fossil) produce 93–97% of global electricity by 2050 in 2°C (>67%) pathways, and that electricity supplies 48–58% of final energy by 2050 in 1.5°C (>50%) no-or-limited-overshoot pathways, up from 20% in 2019.",None,"The ""70 to 85 percent"" figure does not appear anywhere in WG3_Chapter06_EnergySystems_2022.pdf, the WG3 SPM, or the WG3 Technical Summary. The chapter's actual headline figures are 93–97% low-carbon electricity share by 2050 (2°C pathway, not specifically ""renewable"") and 48–58% electricity-as-share-of-final-energy by 2050 (1.5°C pathway) — both materially different from the claimed figure and the claimed metric.",Reviewer 1,Not formally adjudicated
26,F026,FACTUAL,What does IPCC AR6 WG3 state about the required trajectory for methane emissions to limit warming to 1.5 degrees?,"In pathways limiting warming to 1.5°C (>50%) with no or limited overshoot, IPCC AR6 WG3 states that global methane (CH4) emissions are reduced by 34% [21–57%] by 2030, by 44% [31–63%] by 2040, and by 45% [25–70%] by 2050, relative to 2019 levels with deep methane reductions specifically identified as lowering peak warming and reducing the likelihood of overshooting warming limits.",Full,,Reviewer 1,Not formally adjudicated
27,F027,FACTUAL,"According to IPCC AR6 WG3, what share of global electricity supply did renewables reach by 2019 and what was the cost trend?","The documents do not state ""29 percent"" for renewables' 2019 electricity share; WG3_Chapter06_EnergySystems_2022.pdf instead reports solar PV and wind together at 8%, hydroelectric at 16% (combined ~24% renewables), with total low- and zero-carbon electricity (including nuclear) at 37% of global generation in 2019. The cost figures are correct: WG3_SPM_2022.pdf (Page 15) confirms solar energy costs fell 85% and wind energy costs fell 55% between 2010 and 2019.",Partial,"The cost trend figures (85% solar, 55% wind, 2010–2019) are verified exactly. The ""29 percent"" renewable electricity share for 2019 does not appear in either document and should be corrected to the figures actually stated (8% solar+wind, 16% hydro, 37% total low-carbon).",Reviewer 1,Not formally adjudicated
30,F030,FACTUAL,What international climate finance condition does India attach to its NDC2 commitments?,"India explicitly conditions only its non-fossil electricity capacity target (50% by 2030) on receiving ""transfer of technology and low-cost international finance including from Green Climate Fund (GCF)."" The 45% emissions intensity reduction target carries no such conditional language in the document  it is stated unconditionally. ",Partial,"The conditionality on the 50% non-fossil capacity target (technology transfer, GCF finance) is correctly stated. However, the claim that the 45% emissions intensity target is ""described as conditional on international support"" is not supported — the document attaches no such condition to that target; it is presented as an unconditional commitment.",Reviewer 1,Not formally adjudicated
32,C002,COMPARATIVE,"Compare the net zero target years and legislative bases of the UK, EU, Canada, and Japan.","The UK's Climate Change Act 2008 was amended on 27 June 2019 to set a legally-binding net zero by 2050 target; the EU commits to climate neutrality by 2050 under its agreed objective, governed by Regulation (EU) 2018/1999 and the European Climate Law; Canada's net zero by 2050 commitment is codified in the Canadian Net-Zero Emissions Accountability Act, which received Royal Assent on 29 June 2021; and Japan's net-zero by 2050 goal was made a Basic Principle of law through the Act Partially Amending the Act on Promotion of Global Warming Countermeasures (Act No. 54 of 2021)  not merely announced.",Partial,"The UK, EU, and Canada entries are verified exactly. The Japan entry is incorrect: net-zero by 2050 is not just ""announced... and reflected in NDC2"" — it is legislatively codified as a Basic Principle under Act No. 54 of 2021, the same legislative-basis category as the other three countries.",Reviewer 1,Not formally adjudicated
33,C003,COMPARATIVE,Compare India's and China's renewable energy commitments in their NDC2 submissions. Which country has a more specific and measurable target?,"India commits to 50% cumulative installed electric power capacity from non-fossil sources by 2030 (NDC2_2022_India.pdf, p.3); China commits to over 1.2 billion kW (1,200 GW) of wind and solar capacity plus 25% non-fossil fuels in primary energy consumption by 2030 (NDC2_2021_China.pdf, p.8). China's absolute GW figure is more directly quantifiable as a single number, but neither document provides a baseline capacity figure for comparison, so the claim that only India's target ""lacks a clear baseline"" is not supported by either text.",Partial,"The two targets are stated correctly. The comparative conclusion (China's target being more specific/measurable) is a reasonable reading, but the supporting claim that India's target ""lacks a clear baseline"" while implying China's has one is incorrect — neither NDC2_2022_India.pdf nor NDC2_2021_China.pdf states a current baseline capacity figure for the respective targets.",Reviewer 1,Not formally adjudicated
34,C004,COMPARATIVE,"Why is it difficult to directly compare Japan's 2030 target with the USA's 2030 target, and how should researchers adjust for this?","The documents confirm only the baseline mismatch itself: Japan's target (46% reduction by fiscal year 2030) is set against a fiscal year 2013 baseline, while the USA's target (50–52% reduction by 2030) is set against a 2005 baseline different reference years with different national emission levels, making a direct percentage comparison without adjustment unreliable. Neither NDC2_2021_Japan.pdf nor NDC2_2021_USA.pdf contains any stated conversion factor, ""2005-equivalent"" recalculation, or recommended common-reference-year methodology.",Partial,"The core observation  different baseline years (2013 vs. 2005) make direct comparison misleading is correct and verifiable. However, the specific claim that ""46% below 2013 translates to approximately 50% below 2005"" and the recommendation to use ""2019 or absolute MtCO2e"" as a common reference do not appear in either document these are external analytical additions, not findings from the source texts, and should not be presented as document-grounded.",Reviewer 1,Not formally adjudicated
35,C005,COMPARATIVE,"Compare the use of conditional targets in Indonesia's, Mexico's, and India's NDC2 submissions.","Mexico (35% unconditional / 40% conditional) is correct. Indonesia's actual figures are 29% unconditional / up to 41% conditional — not 31.89%/43.20% — so the real gap is 12 points, not 11.3. India conditions only its 50% non-fossil capacity target, not ""all major targets.""",Partial,Mexico correct; Indonesia's figures and resulting gap calculation are wrong; India's conditionality is overstated.,Reviewer 1,Not formally adjudicated
36,C006,COMPARATIVE,Compare the 2030 ambition level of Australia's NDC2 against the UK's NDC2 using the same baseline year.,"Australia targets 43% below 2005 by 2030 (NDC2_2022_Australia.pdf, p.3); UK targets at least 68% below 1990 by 2030 (NDC2_2022_UK.pdf, p.5). Neither document contains a 2005-rebaselining calculation or any Climate Action Tracker reference direct comparison requires external calculation not found in either NDC.",Partial,"The two headline figures and both 2050 net zero commitments are correct, but the ""50-53% rebaselined"" figure and CAT rating appear in neither document; they are external additions, not document-grounded findings.",Reviewer 1,Not formally adjudicated
37,C007,COMPARATIVE,How do Brazil's and Indonesia's NDC2 submissions differ in their approach to forest-related climate commitments?,"Brazil commits to zero deforestation by 2030 under the PPCDAm Action Plan not ""illegal deforestation,"" and no ""12 million hectares"" figure appears anywhere in the document (NDC2_2022_Brazil.pdf, p.9). Indonesia treats forestry through an explicit FOLU (Forestry and Other Land Use) sector with quantified peatland restoration targets and rewetting/revegetation assumptions (NDC2_2022_Indonesia.pdf, p.36), reflecting a more sector-granular approach than Brazil's single deforestation target.",Partial,"Indonesia's FOLU/peatland-sector framing is accurate, but Brazil's commitment is ""zero deforestation,"" not ""illegal deforestation,"" and ""12 million hectares"" is not stated in NDC2_2022_Brazil.pdf.",Reviewer 1,Not formally adjudicated
38,C008,COMPARATIVE,Which G20 countries in the corpus explicitly mention carbon pricing mechanisms in their NDC2 submissions?,"South Korea, the EU, Canada, and China all explicitly mention carbon pricing mechanisms: South Korea details its K-ETS covering 73.5% of national emissions (NDC2_2021_South_Korea.pdf, p.6); the EU references its EU ETS, operational since 2005 (NDC2_2020_EU.pdf, p.3); Canada describes its federal-provincial carbon pricing system including cap-and-trade and carbon tax variants (NDC2_2021_Canada.pdf, p.5); and China describes building its national ETS ""by stages"" from prior pilot programs, though no specific 2021 launch date appears in the text (NDC2_2021_China.pdf, p.14). Japan's NDC2 contains zero mentions of carbon pricing, carbon tax, or emissions trading.",Partial,"All five countries' inclusion/exclusion is correct, but China's ""launched in 2021"" detail is not stated in the document (it describes phased construction, not a specific launch year), and Japan's ""Green Innovation Fund"" claim does not appear anywhere in NDC2_2021_Japan.pdf.",Reviewer 1,Not formally adjudicated
